Lower layer Super Output Areas Code,Lower layer Super Output Areas,Tenure of household (9 categories) Code,Tenure of household (9 categories),Observation
E01026007,Boston 001A,-8,Does not apply,0
E01026007,Boston 001A,0,Owned: Owns outright,256
E01026007,Boston 001A,1,Owned: Owns with a mortgage or loan,159
E01026007,Boston 001A,2,Shared ownership: Shared ownership,5
E01026007,Boston 001A,3,Social rented: Rents from council or Local Authority,11
E01026007,Boston 001A,4,Social rented: Other social rented,16
E01026007,Boston 001A,5,Private rented: Private landlord or letting agency,31
E01026007,Boston 001A,6,Private rented: Other private rented,9
E01026007,Boston 001A,7,Lives rent free,0
E01026008,Boston 001B,-8,Does not apply,0
E01026008,Boston 001B,0,Owned: Owns outright,262
E01026008,Boston 001B,1,Owned: Owns with a mortgage or loan,141
E01026008,Boston 001B,2,Shared ownership: Shared ownership,6
E01026008,Boston 001B,3,Social rented: Rents from council or Local Authority,29
E01026008,Boston 001B,4,Social rented: Other social rented,81
E01026008,Boston 001B,5,Private rented: Private landlord or letting agency,28
E01026008,Boston 001B,6,Private rented: Other private rented,14
E01026008,Boston 001B,7,Lives rent free,0
E01026009,Boston 001C,-8,Does not apply,0
E01026009,Boston 001C,0,Owned: Owns outright,246
E01026009,Boston 001C,1,Owned: Owns with a mortgage or loan,129
E01026009,Boston 001C,2,Shared ownership: Shared ownership,1
E01026009,Boston 001C,3,Social rented: Rents from council or Local Authority,17
E01026009,Boston 001C,4,Social rented: Other social rented,70
E01026009,Boston 001C,5,Private rented: Private landlord or letting agency,34
E01026009,Boston 001C,6,Private rented: Other private rented,17
E01026009,Boston 001C,7,Lives rent free,0
E01026010,Boston 002A,-8,Does not apply,0
E01026010,Boston 002A,0,Owned: Owns outright,46
E01026010,Boston 002A,1,Owned: Owns with a mortgage or loan,77
E01026010,Boston 002A,2,Shared ownership: Shared ownership,13
E01026010,Boston 002A,3,Social rented: Rents from council or Local Authority,213
E01026010,Boston 002A,4,Social rented: Other social rented,260
E01026010,Boston 002A,5,Private rented: Private landlord or letting agency,126
E01026010,Boston 002A,6,Private rented: Other private rented,7
E01026010,Boston 002A,7,Lives rent free,6
E01026012,Boston 004A,-8,Does not apply,0
E01026012,Boston 004A,0,Owned: Owns outright,192
E01026012,Boston 004A,1,Owned: Owns with a mortgage or loan,79
E01026012,Boston 004A,2,Shared ownership: Shared ownership,2
E01026012,Boston 004A,3,Social rented: Rents from council or Local Authority,60
E01026012,Boston 004A,4,Social rented: Other social rented,156
E01026012,Boston 004A,5,Private rented: Private landlord or letting agency,43
E01026012,Boston 004A,6,Private rented: Other private rented,7
E01026012,Boston 004A,7,Lives rent free,0
E01026013,Boston 008A,-8,Does not apply,0
E01026013,Boston 008A,0,Owned: Owns outright,358
E01026013,Boston 008A,1,Owned: Owns with a mortgage or loan,175
E01026013,Boston 008A,2,Shared ownership: Shared ownership,3
E01026013,Boston 008A,3,Social rented: Rents from council or Local Authority,10
E01026013,Boston 008A,4,Social rented: Other social rented,12
E01026013,Boston 008A,5,Private rented: Private landlord or letting agency,54
E01026013,Boston 008A,6,Private rented: Other private rented,7
E01026013,Boston 008A,7,Lives rent free,0
E01026014,Boston 008B,-8,Does not apply,0
E01026014,Boston 008B,0,Owned: Owns outright,355
E01026014,Boston 008B,1,Owned: Owns with a mortgage or loan,239
E01026014,Boston 008B,2,Shared ownership: Shared ownership,11
E01026014,Boston 008B,3,Social rented: Rents from council or Local Authority,24
E01026014,Boston 008B,4,Social rented: Other social rented,49
E01026014,Boston 008B,5,Private rented: Private landlord or letting agency,98
E01026014,Boston 008B,6,Private rented: Other private rented,12
E01026014,Boston 008B,7,Lives rent free,0
E01026015,Boston 004B,-8,Does not apply,0
E01026015,Boston 004B,0,Owned: Owns outright,201
E01026015,Boston 004B,1,Owned: Owns with a mortgage or loan,203
E01026015,Boston 004B,2,Shared ownership: Shared ownership,18
E01026015,Boston 004B,3,Social rented: Rents from council or Local Authority,17
E01026015,Boston 004B,4,Social rented: Other social rented,46
E01026015,Boston 004B,5,Private rented: Private landlord or letting agency,206
E01026015,Boston 004B,6,Private rented: Other private rented,8
E01026015,Boston 004B,7,Lives rent free,0
E01026016,Boston 006A,-8,Does not apply,0
E01026016,Boston 006A,0,Owned: Owns outright,453
E01026016,Boston 006A,1,Owned: Owns with a mortgage or loan,310
E01026016,Boston 006A,2,Shared ownership: Shared ownership,11
E01026016,Boston 006A,3,Social rented: Rents from council or Local Authority,54
E01026016,Boston 006A,4,Social rented: Other social rented,122
E01026016,Boston 006A,5,Private rented: Private landlord or letting agency,66
E01026016,Boston 006A,6,Private rented: Other private rented,16
E01026016,Boston 006A,7,Lives rent free,0
E01026017,Boston 007A,-8,Does not apply,0
E01026017,Boston 007A,0,Owned: Owns outright,260
E01026017,Boston 007A,1,Owned: Owns with a mortgage or loan,188
E01026017,Boston 007A,2,Shared ownership: Shared ownership,4
E01026017,Boston 007A,3,Social rented: Rents from council or Local Authority,61
E01026017,Boston 007A,4,Social rented: Other social rented,130
E01026017,Boston 007A,5,Private rented: Private landlord or letting agency,44
E01026017,Boston 007A,6,Private rented: Other private rented,11
E01026017,Boston 007A,7,Lives rent free,0
E01026018,Boston 007B,-8,Does not apply,0
E01026018,Boston 007B,0,Owned: Owns outright,428
E01026018,Boston 007B,1,Owned: Owns with a mortgage or loan,204
E01026018,Boston 007B,2,Shared ownership: Shared ownership,3
E01026018,Boston 007B,3,Social rented: Rents from council or Local Authority,14
E01026018,Boston 007B,4,Social rented: Other social rented,24
E01026018,Boston 007B,5,Private rented: Private landlord or letting agency,56
E01026018,Boston 007B,6,Private rented: Other private rented,9
E01026018,Boston 007B,7,Lives rent free,0
E01026019,Boston 007C,-8,Does not apply,0
E01026019,Boston 007C,0,Owned: Owns outright,276
E01026019,Boston 007C,1,Owned: Owns with a mortgage or loan,271
E01026019,Boston 007C,2,Shared ownership: Shared ownership,19
E01026019,Boston 007C,3,Social rented: Rents from council or Local Authority,146
E01026019,Boston 007C,4,Social rented: Other social rented,249
E01026019,Boston 007C,5,Private rented: Private landlord or letting agency,172
E01026019,Boston 007C,6,Private rented: Other private rented,21
E01026019,Boston 007C,7,Lives rent free,1
E01026020,Boston 007D,-8,Does not apply,0
E01026020,Boston 007D,0,Owned: Owns outright,425
E01026020,Boston 007D,1,Owned: Owns with a mortgage or loan,380
E01026020,Boston 007D,2,Shared ownership: Shared ownership,27
E01026020,Boston 007D,3,Social rented: Rents from council or Local Authority,31
E01026020,Boston 007D,4,Social rented: Other social rented,108
E01026020,Boston 007D,5,Private rented: Private landlord or letting agency,195
E01026020,Boston 007D,6,Private rented: Other private rented,17
E01026020,Boston 007D,7,Lives rent free,0
E01026021,Boston 003B,-8,Does not apply,0
E01026021,Boston 003B,0,Owned: Owns outright,324
E01026021,Boston 003B,1,Owned: Owns with a mortgage or loan,172
E01026021,Boston 003B,2,Shared ownership: Shared ownership,5
E01026021,Boston 003B,3,Social rented: Rents from council or Local Authority,6
E01026021,Boston 003B,4,Social rented: Other social rented,51
E01026021,Boston 003B,5,Private rented: Private landlord or letting agency,217
E01026021,Boston 003B,6,Private rented: Other private rented,24
E01026021,Boston 003B,7,Lives rent free,0
E01026022,Boston 008C,-8,Does not apply,0
E01026022,Boston 008C,0,Owned: Owns outright,497
E01026022,Boston 008C,1,Owned: Owns with a mortgage or loan,248
E01026022,Boston 008C,2,Shared ownership: Shared ownership,18
E01026022,Boston 008C,3,Social rented: Rents from council or Local Authority,2
E01026022,Boston 008C,4,Social rented: Other social rented,17
E01026022,Boston 008C,5,Private rented: Private landlord or letting agency,122
E01026022,Boston 008C,6,Private rented: Other private rented,11
E01026022,Boston 008C,7,Lives rent free,0
E01026023,Boston 001D,-8,Does not apply,0
E01026023,Boston 001D,0,Owned: Owns outright,301
E01026023,Boston 001D,1,Owned: Owns with a mortgage or loan,131
E01026023,Boston 001D,2,Shared ownership: Shared ownership,1
E01026023,Boston 001D,3,Social rented: Rents from council or Local Authority,24
E01026023,Boston 001D,4,Social rented: Other social rented,72
E01026023,Boston 001D,5,Private rented: Private landlord or letting agency,57
E01026023,Boston 001D,6,Private rented: Other private rented,13
E01026023,Boston 001D,7,Lives rent free,1
E01026024,Boston 001E,-8,Does not apply,0
E01026024,Boston 001E,0,Owned: Owns outright,391
E01026024,Boston 001E,1,Owned: Owns with a mortgage or loan,245
E01026024,Boston 001E,2,Shared ownership: Shared ownership,26
E01026024,Boston 001E,3,Social rented: Rents from council or Local Authority,44
E01026024,Boston 001E,4,Social rented: Other social rented,116
E01026024,Boston 001E,5,Private rented: Private landlord or letting agency,83
E01026024,Boston 001E,6,Private rented: Other private rented,18
E01026024,Boston 001E,7,Lives rent free,1
E01026025,Boston 003C,-8,Does not apply,0
E01026025,Boston 003C,0,Owned: Owns outright,174
E01026025,Boston 003C,1,Owned: Owns with a mortgage or loan,158
E01026025,Boston 003C,2,Shared ownership: Shared ownership,18
E01026025,Boston 003C,3,Social rented: Rents from council or Local Authority,66
E01026025,Boston 003C,4,Social rented: Other social rented,179
E01026025,Boston 003C,5,Private rented: Private landlord or letting agency,463
E01026025,Boston 003C,6,Private rented: Other private rented,29
E01026025,Boston 003C,7,Lives rent free,1
E01026026,Boston 004C,-8,Does not apply,0
E01026026,Boston 004C,0,Owned: Owns outright,146
E01026026,Boston 004C,1,Owned: Owns with a mortgage or loan,240
E01026026,Boston 004C,2,Shared ownership: Shared ownership,16
E01026026,Boston 004C,3,Social rented: Rents from council or Local Authority,137
E01026026,Boston 004C,4,Social rented: Other social rented,262
E01026026,Boston 004C,5,Private rented: Private landlord or letting agency,85
E01026026,Boston 004C,6,Private rented: Other private rented,5
E01026026,Boston 004C,7,Lives rent free,4
E01026027,Boston 004D,-8,Does not apply,0
E01026027,Boston 004D,0,Owned: Owns outright,235
E01026027,Boston 004D,1,Owned: Owns with a mortgage or loan,214
E01026027,Boston 004D,2,Shared ownership: Shared ownership,9
E01026027,Boston 004D,3,Social rented: Rents from council or Local Authority,26
E01026027,Boston 004D,4,Social rented: Other social rented,71
E01026027,Boston 004D,5,Private rented: Private landlord or letting agency,188
E01026027,Boston 004D,6,Private rented: Other private rented,8
E01026027,Boston 004D,7,Lives rent free,0
E01026028,Boston 004E,-8,Does not apply,0
E01026028,Boston 004E,0,Owned: Owns outright,252
E01026028,Boston 004E,1,Owned: Owns with a mortgage or loan,188
