LSOA Code,LSOA Name,Local Authority Code,Local Authority Name,Region,Number of households,Number of households in fuel poverty,Proportion of households fuel poor (%)
E01026007,Boston 001A,E07000136,Boston,East Midlands,524,46,8.778625954198473
E01026008,Boston 001B,E07000136,Boston,East Midlands,606,76,12.541254125412541
E01026009,Boston 001C,E07000136,Boston,East Midlands,549,74,13.479052823315119
E01026010,Boston 002A,E07000136,Boston,East Midlands,784,82,10.459183673469388
E01026012,Boston 004A,E07000136,Boston,East Midlands,572,68,11.888111888111888
E01026013,Boston 008A,E07000136,Boston,East Midlands,658,46,6.9908814589665651
E01026014,Boston 008B,E07000136,Boston,East Midlands,832,62,7.4519230769230766
E01026015,Boston 004B,E07000136,Boston,East Midlands,742,49,6.6037735849056602
E01026016,Boston 006A,E07000136,Boston,East Midlands,1082,119,10.998151571164511
E01026017,Boston 007A,E07000136,Boston,East Midlands,751,102,13.581890812250332
E01026018,Boston 007B,E07000136,Boston,East Midlands,783,91,11.621966794380588
E01026019,Boston 007C,E07000136,Boston,East Midlands,1235,157,12.712550607287449
E01026020,Boston 007D,E07000136,Boston,East Midlands,1268,122,9.6214511041009469
E01026021,Boston 003B,E07000136,Boston,East Midlands,850,98,11.529411764705882
E01026022,Boston 008C,E07000136,Boston,East Midlands,969,76,7.8431372549019605
E01026023,Boston 001D,E07000136,Boston,East Midlands,644,75,11.645962732919255
E01026024,Boston 001E,E07000136,Boston,East Midlands,975,107,10.974358974358974
E01026025,Boston 003C,E07000136,Boston,East Midlands,1146,189,16.492146596858639
E01026026,Boston 004C,E07000136,Boston,East Midlands,951,118,12.407991587802314
E01026027,Boston 004D,E07000136,Boston,East Midlands,792,90,11.363636363636363
E01026028,Boston 004E,E07000136,Boston,East Midlands,914,116,12.691466083150985
E01026030,Boston 002C,E07000136,Boston,East Midlands,1193,179,15.004191114836546
E01026031,Boston 009B,E07000136,Boston,East Midlands,741,57,7.6923076923076925
E01026032,Boston 002D,E07000136,Boston,East Midlands,823,171,20.777642770352369
E01026033,Boston 006B,E07000136,Boston,East Midlands,1065,122,11.455399061032864
E01026034,Boston 006C,E07000136,Boston,East Midlands,882,101,11.45124716553288
E01026035,Boston 009C,E07000136,Boston,East Midlands,1133,65,5.7369814651368047
E01026036,Boston 003D,E07000136,Boston,East Midlands,693,149,21.5007215007215
E01026037,Boston 002E,E07000136,Boston,East Midlands,733,102,13.915416098226466
E01026038,Boston 008D,E07000136,Boston,East Midlands,697,45,6.4562410329985651
