lsoa11,gp_pt_time,gp_car_time
E01000001,4,7
E01000002,9,7
E01000003,7,7
E01000005,9,7
E01000006,6,6
E01000007,5,6
E01000008,6,6
E01000009,4,6
E01000010,6,6
E01000011,4,7
E01000012,6,7
E01000013,7,7
E01000014,7,7
E01000015,5,6
E01000016,8,7
E01000017,5,6
E01000018,6,6
E01000019,8,7
E01000020,8,6
E01000021,7,6
E01000022,8,7
E01000023,5,6
E01000024,7,6
E01000025,5,6
E01000027,9,7
E01000028,9,7
E01000029,10,8
E01000030,6,7
E01000031,4,6
E01000032,8,7
E01000033,15,9
E01000034,10,8
E01000035,10,7
E01000036,3,6
E01000037,6,7
E01000038,5,7
E01000039,7,7
E01000040,4,6
E01000041,5,7
E01000042,7,8
E01000043,6,6
E01000044,4,6
E01000045,8,7
E01000046,8,7
E01000048,4,6
E01000049,5,6
E01000050,3,6
E01000051,4,7
E01000052,6,6
E01000053,12,8
E01000054,3,6
E01000055,7,7
E01000056,8,7
E01000057,4,6
E01000058,6,6
E01000059,8,7
E01000060,8,8
E01000061,3,7
E01000062,12,8
E01000063,6,7
E01000064,13,8
E01000065,4,6
E01000066,13,8
E01000067,10,7
E01000068,8,7
E01000069,5,6
E01000070,5,6
E01000071,5,7
E01000072,6,7
E01000073,4,6
E01000074,4,6
E01000075,7,7
E01000076,7,7
E01000077,6,7
E01000078,6,7
E01000079,7,7
E01000080,8,7
E01000081,7,7
E01000082,6,6
E01000083,6,7
E01000084,4,6
E01000085,6,6
E01000086,7,6
E01000087,7,7
E01000088,2,6
E01000089,4,6
E01000090,3,6
E01000091,8,6
E01000092,12,8
E01000093,5,6
E01000094,14,8
E01000095,15,11
E01000096,11,7
E01000097,7,6
E01000098,6,6
E01000099,4,6
E01000100,5,6
E01000101,5,6
E01000102,7,6
E01000103,11,8
E01000104,8,7
E01000105,5,6
E01000106,5,6
E01000107,12,7
E01000108,5,6
E01000109,7,6
E01000110,9,7
E01000111,11,7
E01000112,7,7
E01000113,11,8
E01000114,10,8
E01000115,7,7
E01000116,9,7
E01000117,11,7
E01000118,6,6
E01000119,15,9
E01000120,12,8
E01000121,6,7
E01000122,15,9
E01000123,12,8
E01000124,12,8
E01000125,5,7
E01000126,9,7
E01000127,3,6
E01000128,8,7
E01000129,5,7
E01000130,7,7
E01000131,11,7
E01000132,5,6
E01000133,8,7
E01000134,8,7
E01000135,5,7
E01000136,10,7
E01000137,7,7
E01000138,6,7
E01000139,6,7
E01000140,9,8
E01000141,6,7
E01000142,8,7
E01000143,7,8
E01000144,5,6
E01000145,5,7
E01000146,6,6
E01000147,4,6
E01000148,7,7
E01000150,11,8
E01000151,2,7
E01000152,6,6
E01000153,8,8
E01000154,7,8
E01000155,11,8
E01000156,3,6
E01000157,6,6
E01000158,8,7
E01000159,11,7
E01000160,12,8
E01000161,4,6
E01000162,6,7
E01000163,12,7
E01000164,7,7
E01000165,11,7
E01000166,14,8
E01000167,13,8
E01000168,11,8
E01000169,8,7
E01000170,4,6
E01000171,5,6
E01000172,8,7
E01000173,11,7
E01000174,10,7
E01000175,14,8
E01000176,10,7
E01000177,4,6
E01000178,7,7
E01000179,8,7
E01000180,8,7
E01000181,7,7
E01000182,3,6
E01000183,10,7
E01000184,7,8
E01000185,6,7
E01000186,7,7
E01000187,12,8
E01000188,9,8
E01000189,14,8
E01000190,13,8
E01000191,7,7
E01000192,3,6
E01000193,8,7
E01000194,7,7
E01000195,16,9
E01000196,4,6
E01000197,3,6
E01000198,12,8
E01000199,13,9
E01000200,9,7
E01000201,9,8
E01000202,5,6
E01000203,9,7
E01000204,7,7
E01000205,11,7
E01000206,14,8
E01000207,7,6
E01000208,7,7
E01000209,8,7
E01000210,6,7
E01000211,8,7
E01000212,5,6
E01000213,10,7
E01000214,10,7
E01000215,9,7
E01000216,6,6
E01000217,7,7
E01000218,4,6
E01000219,9,7
E01000220,6,6
E01000221,13,9
E01000222,5,7
E01000223,12,8
E01000224,6,7
E01000225,13,8
E01000226,10,7
E01000227,8,7
E01000228,19,10
E01000229,15,10
E01000230,12,8
E01000231,15,13
E01000232,7,7
E01000233,4,6
E01000234,7,7
E01000235,9,7
E01000236,9,7
E01000237,7,7
E01000238,5,7
E01000239,13,9
E01000240,13,9
E01000241,5,7
E01000242,9,8
