lsoa11,hosp_pt_time,hosp_car_time
E01000001,5,7
E01000002,9,8
E01000003,8,8
E01000005,16,10
E01000006,35,18
E01000007,33,17
E01000008,39,16
E01000009,30,18
E01000010,33,16
E01000011,32,19
E01000012,38,18
E01000013,32,18
E01000014,35,18
E01000015,33,17
E01000016,26,17
E01000017,27,17
E01000018,32,17
E01000019,31,15
E01000020,31,15
E01000021,29,16
E01000022,33,16
E01000023,26,16
E01000024,33,16
E01000025,32,17
E01000027,29,15
E01000028,25,14
E01000029,25,13
E01000030,26,15
E01000031,22,13
E01000032,21,12
E01000033,26,16
E01000034,22,15
E01000035,26,16
E01000036,28,17
E01000037,17,14
E01000038,18,11
E01000039,23,14
E01000040,37,16
E01000041,40,17
E01000042,36,18
E01000043,39,17
E01000044,39,16
E01000045,42,16
E01000046,40,17
E01000048,40,16
E01000049,40,15
E01000050,36,15
E01000051,37,16
E01000052,39,14
E01000053,40,20
E01000054,42,19
E01000055,41,18
E01000056,45,20
E01000057,38,18
E01000058,41,20
E01000059,40,20
E01000060,23,15
E01000061,22,14
E01000062,24,15
E01000063,26,16
E01000064,23,15
E01000065,28,17
E01000066,28,16
E01000067,27,16
E01000068,34,19
E01000069,31,17
E01000070,29,18
E01000071,35,18
E01000072,38,18
E01000073,37,17
E01000074,36,18
E01000075,36,19
E01000076,40,18
E01000077,33,17
E01000078,32,16
E01000079,35,18
E01000080,34,17
E01000081,33,17
E01000082,30,17
E01000083,30,16
E01000084,35,20
E01000085,35,20
E01000086,35,20
E01000087,40,21
E01000088,41,20
E01000089,43,21
E01000090,41,21
E01000091,49,16
E01000092,46,16
E01000093,45,15
E01000094,51,17
E01000095,49,19
E01000096,47,16
E01000097,25,14
E01000098,28,14
E01000099,27,15
E01000100,28,15
E01000101,26,15
E01000102,30,15
E01000103,33,18
E01000104,30,18
E01000105,36,20
E01000106,35,19
E01000107,35,19
E01000108,30,18
E01000109,26,15
E01000110,24,13
E01000111,22,15
E01000112,20,14
E01000113,19,12
E01000114,25,15
E01000115,40,18
E01000116,37,19
E01000117,36,20
E01000118,34,20
E01000119,41,19
E01000120,38,18
E01000121,39,21
E01000122,41,19
E01000123,38,20
E01000124,33,20
E01000125,37,22
E01000126,35,23
E01000127,35,23
E01000128,34,22
E01000129,32,22
E01000130,38,22
E01000131,33,22
E01000132,38,23
E01000133,39,23
E01000134,37,22
E01000135,28,19
E01000136,24,17
E01000137,31,19
E01000138,33,21
E01000139,30,19
E01000140,28,17
E01000141,31,20
E01000142,33,21
E01000143,31,19
E01000144,24,20
E01000145,29,20
E01000146,22,19
E01000147,35,22
E01000148,33,22
E01000150,40,23
E01000151,35,24
E01000152,39,24
E01000153,39,24
E01000154,31,24
E01000155,28,23
E01000156,30,17
E01000157,32,18
E01000158,37,21
E01000159,33,22
E01000160,34,21
E01000161,34,20
E01000162,33,21
E01000163,36,19
E01000164,32,18
E01000165,36,20
E01000166,35,17
E01000167,31,19
E01000168,33,17
E01000169,27,18
E01000170,25,19
E01000171,23,18
E01000172,30,17
E01000173,29,18
E01000174,27,19
E01000175,33,20
E01000176,29,18
E01000177,27,17
E01000178,27,17
E01000179,29,18
E01000180,24,17
E01000181,23,17
E01000182,21,16
E01000183,27,17
E01000184,31,19
E01000185,28,18
E01000186,31,21
E01000187,34,22
E01000188,37,22
E01000189,41,21
E01000190,38,21
E01000191,31,21
E01000192,33,22
E01000193,35,22
E01000194,36,22
E01000195,37,22
E01000196,27,21
E01000197,28,20
E01000198,38,23
E01000199,35,23
E01000200,31,21
E01000201,35,21
E01000202,33,21
E01000203,32,20
E01000204,27,23
E01000205,34,18
E01000206,26,16
E01000207,31,17
E01000208,25,15
E01000209,30,19
E01000210,30,17
