Local authority code,Local authority,MSOA code,Middle layer super output area,LSOA code,Lower layer super output area,"Number of 
domestic 
properties","Number of 
domestic 
gas meters","Estimated number 
of properties not 
on the gas grid","Estimated percentage
of properties not 
on the gas grid"
E07000136,Boston,E02005417,Boston 001,E01026007,Boston 001A,490,389,101,20.61
E07000136,Boston,E02005417,Boston 001,E01026008,Boston 001B,590,326,264,44.75
E07000136,Boston,E02005417,Boston 001,E01026009,Boston 001C,540,,,
E07000136,Boston,E02005417,Boston 001,E01026023,Boston 001D,640,,,
E07000136,Boston,E02005417,Boston 001,E01026024,Boston 001E,910,,,
E07000136,Boston,E02005418,Boston 002,E01026010,Boston 002A,660,640,20,3.03
E07000136,Boston,E02005418,Boston 002,E01026030,Boston 002C,1180,1084,96,8.14
E07000136,Boston,E02005418,Boston 002,E01026032,Boston 002D,800,741,59,7.37
E07000136,Boston,E02005418,Boston 002,E01026037,Boston 002E,780,675,105,13.46
E07000136,Boston,E02005418,Boston 002,E01034679,Boston 002F,590,550,40,6.78
E07000136,Boston,E02005418,Boston 002,E01034680,Boston 002G,600,542,58,9.67
E07000136,Boston,E02005419,Boston 003,E01026021,Boston 003B,950,774,176,18.53
E07000136,Boston,E02005419,Boston 003,E01026025,Boston 003C,1160,965,195,16.81
E07000136,Boston,E02005419,Boston 003,E01026036,Boston 003D,740,675,65,8.78
E07000136,Boston,E02005419,Boston 003,E01034681,Boston 003E,660,587,73,11.06
E07000136,Boston,E02005419,Boston 003,E01034682,Boston 003F,750,557,193,25.73
E07000136,Boston,E02005420,Boston 004,E01026012,Boston 004A,570,531,39,6.84
E07000136,Boston,E02005420,Boston 004,E01026015,Boston 004B,700,684,16,2.29
E07000136,Boston,E02005420,Boston 004,E01026026,Boston 004C,860,901,0,0
E07000136,Boston,E02005420,Boston 004,E01026027,Boston 004D,790,751,39,4.94
E07000136,Boston,E02005420,Boston 004,E01026028,Boston 004E,870,773,97,11.15
E07000136,Boston,E02005422,Boston 006,E01026016,Boston 006A,1070,251,819,76.54
E07000136,Boston,E02005422,Boston 006,E01026033,Boston 006B,880,383,497,56.48
E07000136,Boston,E02005422,Boston 006,E01026034,Boston 006C,860,604,256,29.77
