Scope,Split,Model,N_Obs,RMSE,MAE,R2,Dir_Acc_%,Dec_Exact_%,Dec_Within1_%
lincolnshire,Validation (2017),Naive Persistence (y_{t-1}),420,0.30495858589756514,0.2446840639246563,0.7699667486263706,0.0,29.04761904761905,67.14285714285714
lincolnshire,Validation (2017),Naive Momentum (y_{t-1} + delta),420,0.39816719642258397,0.29797148109681804,0.6078611760046806,64.52380952380953,24.523809523809522,62.38095238095238
lincolnshire,Validation (2017),Ridge Regression,420,0.23995686824811424,0.18265457891613018,0.8575785975356248,80.23809523809524,30.714285714285715,66.42857142857143
lincolnshire,Validation (2017),Random Forest,420,0.25638587033019605,0.19270076430895935,0.8374087904254233,78.0952380952381,30.0,66.9047619047619
lincolnshire,Validation (2017),LightGBM,420,0.25785382907899645,0.1936146644804909,0.8355416011659703,78.0952380952381,30.476190476190478,67.14285714285714
lincolnshire,Test (2018-2019 Aggregate),Naive Persistence (y_{t-1}),840,0.376447728742989,0.29175183648243824,0.6989617908404901,0.0,30.952380952380953,70.95238095238095
lincolnshire,Test (2018-2019 Aggregate),Naive Momentum (y_{t-1} + delta),840,0.47319090855559265,0.35200485172109275,0.524352691986953,59.285714285714285,24.047619047619047,60.59523809523809
lincolnshire,Test (2018-2019 Aggregate),Ridge Regression,840,0.28914246495873475,0.21234948858438635,0.822402839626023,79.76190476190477,34.404761904761905,72.97619047619047
lincolnshire,Test (2018-2019 Aggregate),Random Forest,840,0.2994789188449929,0.2203111673729242,0.8094781576354573,76.78571428571429,30.5952380952381,73.09523809523809
lincolnshire,Test (2018-2019 Aggregate),LightGBM,840,0.3116953826177526,0.2245171586588419,0.7936174391949464,75.0,32.02380952380952,72.85714285714285
lincolnshire,Test (2018),Naive Persistence (y_{t-1}),420,0.3089352906065932,0.24142248930127483,0.7649149247416831,0.0,32.142857142857146,72.38095238095238
lincolnshire,Test (2018),Naive Momentum (y_{t-1} + delta),420,0.43761393014457656,0.3263740152752766,0.5282930333560015,57.14285714285714,23.809523809523807,60.71428571428571
lincolnshire,Test (2018),Ridge Regression,420,0.2554739087550378,0.19059606842775012,0.8392381038852348,73.33333333333333,35.0,73.80952380952381
lincolnshire,Test (2018),Random Forest,420,0.25367174806390536,0.1889970118496406,0.8414981930352129,72.85714285714285,32.38095238095238,73.80952380952381
lincolnshire,Test (2018),LightGBM,420,0.25360129700000883,0.1890234528573204,0.8415862207354894,70.95238095238095,31.428571428571427,75.47619047619048
lincolnshire,Test (2019),Naive Persistence (y_{t-1}),420,0.4335721060784814,0.34208118366360163,0.6149776398761859,0.0,27.380952380952383,70.47619047619048
lincolnshire,Test (2019),Naive Momentum (y_{t-1} + delta),420,0.5062739574802877,0.37763568816690884,0.4750300314622967,61.42857142857143,23.809523809523807,62.61904761904762
lincolnshire,Test (2019),Ridge Regression,420,0.31928014662714144,0.2341029087410226,0.7912112413451288,86.19047619047619,29.761904761904763,71.9047619047619
lincolnshire,Test (2019),Random Forest,420,0.3391546695820864,0.2516253228962078,0.7644088969074467,80.71428571428572,28.095238095238095,70.47619047619048
lincolnshire,Test (2019),LightGBM,420,0.36054736894112493,0.2600108644603634,0.7337510246119663,79.04761904761905,27.857142857142858,71.42857142857143
national,Validation (2017),Naive Persistence (y_{t-1}),32844,0.3346089634937338,0.26041082431902657,0.8459091049769552,0.0,45.079771038850325,85.96699549384972
national,Validation (2017),Naive Momentum (y_{t-1} + delta),32844,0.4671098249574813,0.35228612268779697,0.6997107116762961,58.06235537693338,33.98185361100962,71.73304104250396
national,Validation (2017),Ridge Regression,32844,0.27319801123705606,0.20596111633532727,0.8972795523106729,75.06393861892583,46.48337595907928,87.33101936426745
national,Validation (2017),Random Forest,32844,0.2739880138295531,0.20676781524213106,0.8966846230219163,75.252709779564,46.379856290342225,87.3614663256607
national,Validation (2017),LightGBM,32844,0.2751928199555335,0.2067508733212244,0.8957740089115126,75.27402265253927,46.56253805870174,87.37973450249666
national,Test (2018-2019 Aggregate),Naive Persistence (y_{t-1}),65688,0.3786910729554603,0.29624722515098273,0.8298885197950644,0.0,41.96047984411156,82.88880769699183
national,Test (2018-2019 Aggregate),Naive Momentum (y_{t-1} + delta),65688,0.4909287603168594,0.3721903133316607,0.7141090292332919,60.24388016075996,32.701558884423335,69.64590183899647
national,Test (2018-2019 Aggregate),Ridge Regression,65688,0.2991550482508562,0.2245236051106457,0.8938411609052537,78.59578614054318,43.47826086956522,84.65777615393984
national,Test (2018-2019 Aggregate),Random Forest,65688,0.3002117258203776,0.22429518858967473,0.8930898864168539,78.35525514553647,43.353428327852875,84.56339057362075
national,Test (2018-2019 Aggregate),LightGBM,65688,0.3059506993216208,0.22596397278336802,0.8889633401390937,78.23651199610279,43.33668249908659,84.48727317013763
national,Test (2018),Naive Persistence (y_{t-1}),32844,0.38031952267379543,0.2974516734015685,0.819106753568863,0.0,43.68834490317866,84.51467543539155
national,Test (2018),Naive Momentum (y_{t-1} + delta),32844,0.47899554427802127,0.36376685796244546,0.7130620036237896,59.459870904883694,33.70174156619169,71.3159176714164
national,Test (2018),Ridge Regression,32844,0.30132820369795504,0.22553657773198105,0.8864454136450672,78.65972475946901,45.286810376324446,86.15576665448789
national,Test (2018),Random Forest,32844,0.30144511524430445,0.2251263623725296,0.8863572810537423,78.53184752161734,45.3537936913896,86.04615759347217
national,Test (2018),LightGBM,32844,0.3059441969885111,0.2262211290102393,0.8829397210847264,78.44659602971623,45.44817927170868,86.19230300815978
national,Test (2019),Naive Persistence (y_{t-1}),32844,0.37705559025890595,0.295042776900397,0.8352580488279369,0.0,44.94580440872001,85.857386432834
national,Test (2019),Naive Momentum (y_{t-1} + delta),32844,0.5025787142073359,0.38061376870087604,0.707314222617256,61.027889416636214,33.62866885884789,71.37072220192425
national,Test (2019),Ridge Regression,32844,0.2969659903829189,0.22351063248931033,0.8978103603644431,78.53184752161734,46.909633418584825,87.77858969674827
national,Test (2019),Random Forest,32844,0.29897324819362536,0.2234640148068198,0.8964242475596513,78.17866276945561,46.63865546218487,87.71465107782244
national,Test (2019),LightGBM,32844,0.30595720151654016,0.22570681655649674,0.8915287119827585,78.02642796248934,46.69954938497138,87.74205334307636
national_on_lincolnshire,Test (2018-2019 Lincs Subset),Naive Persistence (y_{t-1}),840,0.376447728742989,0.29175183648243824,0.6989617908404901,0.0,30.952380952380953,70.95238095238095
national_on_lincolnshire,Test (2018-2019 Lincs Subset),Naive Momentum (y_{t-1} + delta),840,0.47319090855559265,0.35200485172109275,0.524352691986953,59.285714285714285,24.047619047619047,60.59523809523809
national_on_lincolnshire,Test (2018-2019 Lincs Subset),Ridge Regression,840,0.2842138702705137,0.2102561356681402,0.8284057240186586,79.76190476190477,32.73809523809524,73.33333333333333
national_on_lincolnshire,Test (2018-2019 Lincs Subset),Random Forest,840,0.28134540292952004,0.20852506179699448,0.8318519225784111,79.52380952380952,33.214285714285715,72.97619047619047
national_on_lincolnshire,Test (2018-2019 Lincs Subset),LightGBM,840,0.27881416897544514,0.20709931103737475,0.8348639318774689,79.76190476190477,32.857142857142854,73.45238095238096
