Scope,Split,Model,N_Obs,RMSE,MAE,R2,Dir_Acc_%,Dec_Exact_%,Dec_Within1_%
national,Validation (2017),Naive Persistence (y_{t-1}),32844,0.3346089634937338,0.26041082431902657,0.8459091049769552,0.0,45.079771038850325,85.96699549384972
national,Validation (2017),Naive Momentum (y_{t-1} + delta),32844,0.4671098249574813,0.35228612268779697,0.6997107116762961,58.06235537693338,33.98185361100962,71.73304104250396
national,Validation (2017),Ridge Regression,32844,0.27319801123705606,0.20596111633532727,0.8972795523106729,75.06393861892583,46.48337595907928,87.33101936426745
national,Validation (2017),Random Forest,32844,0.2739880138295531,0.20676781524213106,0.8966846230219163,75.252709779564,46.379856290342225,87.3614663256607
national,Validation (2017),LightGBM,32844,0.2751928199555335,0.2067508733212244,0.8957740089115126,75.27402265253927,46.56253805870174,87.37973450249666
national,Test (2018-2019 Aggregate),Naive Persistence (y_{t-1}),65688,0.3786910729554603,0.29624722515098273,0.8298885197950644,0.0,41.96047984411156,82.88880769699183
national,Test (2018-2019 Aggregate),Naive Momentum (y_{t-1} + delta),65688,0.4909287603168594,0.3721903133316607,0.7141090292332919,60.24388016075996,32.701558884423335,69.64590183899647
national,Test (2018-2019 Aggregate),Ridge Regression,65688,0.2991550482508562,0.2245236051106457,0.8938411609052537,78.59578614054318,43.47826086956522,84.65777615393984
national,Test (2018-2019 Aggregate),Random Forest,65688,0.3002117258203776,0.22429518858967473,0.8930898864168539,78.35525514553647,43.353428327852875,84.56339057362075
national,Test (2018-2019 Aggregate),LightGBM,65688,0.3059506993216208,0.22596397278336802,0.8889633401390937,78.23651199610279,43.33668249908659,84.48727317013763
national,Test (2018),Naive Persistence (y_{t-1}),32844,0.38031952267379543,0.2974516734015685,0.819106753568863,0.0,43.68834490317866,84.51467543539155
national,Test (2018),Naive Momentum (y_{t-1} + delta),32844,0.47899554427802127,0.36376685796244546,0.7130620036237896,59.459870904883694,33.70174156619169,71.3159176714164
national,Test (2018),Ridge Regression,32844,0.30132820369795504,0.22553657773198105,0.8864454136450672,78.65972475946901,45.286810376324446,86.15576665448789
national,Test (2018),Random Forest,32844,0.30144511524430445,0.2251263623725296,0.8863572810537423,78.53184752161734,45.3537936913896,86.04615759347217
national,Test (2018),LightGBM,32844,0.3059441969885111,0.2262211290102393,0.8829397210847264,78.44659602971623,45.44817927170868,86.19230300815978
national,Test (2019),Naive Persistence (y_{t-1}),32844,0.37705559025890595,0.295042776900397,0.8352580488279369,0.0,44.94580440872001,85.857386432834
national,Test (2019),Naive Momentum (y_{t-1} + delta),32844,0.5025787142073359,0.38061376870087604,0.707314222617256,61.027889416636214,33.62866885884789,71.37072220192425
national,Test (2019),Ridge Regression,32844,0.2969659903829189,0.22351063248931033,0.8978103603644431,78.53184752161734,46.909633418584825,87.77858969674827
national,Test (2019),Random Forest,32844,0.29897324819362536,0.2234640148068198,0.8964242475596513,78.17866276945561,46.63865546218487,87.71465107782244
national,Test (2019),LightGBM,32844,0.30595720151654016,0.22570681655649674,0.8915287119827585,78.02642796248934,46.69954938497138,87.74205334307636
national_on_lincolnshire,Test (2018-2019 Lincs Subset),Naive Persistence (y_{t-1}),840,0.376447728742989,0.29175183648243824,0.6989617908404901,0.0,30.952380952380953,70.95238095238095
national_on_lincolnshire,Test (2018-2019 Lincs Subset),Naive Momentum (y_{t-1} + delta),840,0.47319090855559265,0.35200485172109275,0.524352691986953,59.285714285714285,24.047619047619047,60.59523809523809
national_on_lincolnshire,Test (2018-2019 Lincs Subset),Ridge Regression,840,0.2842138702705137,0.2102561356681402,0.8284057240186586,79.76190476190477,32.73809523809524,73.33333333333333
national_on_lincolnshire,Test (2018-2019 Lincs Subset),Random Forest,840,0.28134540292952004,0.20852506179699448,0.8318519225784111,79.52380952380952,33.214285714285715,72.97619047619047
national_on_lincolnshire,Test (2018-2019 Lincs Subset),LightGBM,840,0.27881416897544514,0.20709931103737475,0.8348639318774689,79.76190476190477,32.857142857142854,73.45238095238096
