feature,Ridge Regression,Random Forest,LightGBM
lag_1,20.68966686513481,91.95099778957065,35.228070175438596
rolling_mean_3yr,18.65769100330527,3.741058389104683,16.87719298245614
lag_2,17.761606685141484,0.10960238691710485,12.80701754385965
rolling_max_3yr,2.7970740532724596,3.873892237880891,7.578947368421053
acceleration,1.743133210596313,0.03596124727406335,4.87719298245614
delta_1,9.574155754887974,0.0510494973655957,4.842105263157895
delta_2,7.103824706807561,0.03444090739587533,4.385964912280701
rolling_min_3yr,2.749527811704746,0.10596950045119524,4.385964912280701
decile_lag_1,1.6366315428102556,0.01356136217487206,3.3333333333333335
lag_3,15.628781870508126,0.044203330127396565,2.8771929824561404
rolling_std_3yr,1.6579064958310061,0.03926335173766528,2.807017543859649
