Period,Scope,Model,RMSE_with_history,RMSE_without_history,RMSE_change_without_minus_with,R2_with_history,R2_without_history,R2_change_without_minus_with
2018-2019,lincolnshire,AR Baseline (Momentum Drift),0.4731909085555926,0.4731909085555926,0.0,0.524352691986953,0.524352691986953,0.0
2018-2019,lincolnshire,AR Baseline (Persistence),0.376447728742989,0.376447728742989,0.0,0.6989617908404901,0.6989617908404901,0.0
2018-2019,lincolnshire,Explainable Boosting Machine (EBM),0.3140966134667527,0.5979942604712235,0.2838976470044708,0.7904253414771062,0.2403626839602872,-0.550062657516819
2018-2019,lincolnshire,Multimodal CatBoost,0.33874647772996,0.6370643736945755,0.29831789596461544,0.7562403399253405,0.1378578125303002,-0.6183825273950403
2018-2019,lincolnshire,Multimodal ElasticNet,0.291604575733552,0.7654343175265094,0.4738297417929574,0.8193654056014241,-0.2445951903183032,-1.0639605959197274
2018-2019,lincolnshire,Multimodal Extra-Trees,0.3102665459077731,0.7052949139469032,0.39502836803913016,0.7955052508390505,-0.0567050025625754,-0.8522102534016259
2018-2019,lincolnshire,Multimodal LightGBM,0.3087550533105064,0.6076013705347268,0.29884631722422045,0.7974928284076318,0.2157586288576469,-0.581734199549985
2018-2019,lincolnshire,Multimodal Random Forest,0.3013221342677943,0.6816864165972868,0.3803642823294925,0.807125715009197,0.0128536595622141,-0.794272055446983
2018-2019,lincolnshire,Multimodal Ridge,0.2764199651241161,0.7494440826373274,0.47302411751321133,0.8376878333623068,-0.1931381413606325,-1.0308259747229394
2018-2019,lincolnshire,Multimodal XGBoost,0.314057703938128,0.6055660361864472,0.29150833224831924,0.79047726146445,0.2210039098080742,-0.5694733516563758
2018-2019,lincolnshire,Stacking Ensemble (Super Learner),0.2883704539937045,0.5491838208385562,0.26081336684485174,0.8233499431050153,0.3593103210564421,-0.4640396220485732
2018-2019,national,AR Baseline (Momentum Drift),0.4909287603168594,0.4909287603168594,0.0,0.7141090292332919,0.7141090292332919,0.0
2018-2019,national,AR Baseline (Persistence),0.3786910729554603,0.3786910729554603,0.0,0.8298885197950644,0.8298885197950644,0.0
2018-2019,national,Explainable Boosting Machine (EBM),0.3232623566459321,0.7139913816583326,0.39072902501240053,0.8760422290282839,0.3952868290336915,-0.4807553999945924
2018-2019,national,Multimodal CatBoost,0.3078729792320681,0.7372171619642697,0.4293441827322016,0.8875636762649832,0.3553049105923582,-0.532258765672625
2018-2019,national,Multimodal ElasticNet,0.3037145834055947,0.8740808181864675,0.5703662347808729,0.8905804862713893,0.0937110850176582,-0.7968694012537311
2018-2019,national,Multimodal Extra-Trees,0.3133917379953778,0.8416144651808227,0.5282227271854449,0.8834966068093594,0.1597860820723712,-0.7237105247369882
2018-2019,national,Multimodal LightGBM,0.3053022064065719,0.7207454893127866,0.4154432829062147,0.8894335477570978,0.3837919679648554,-0.5056415797922424
2018-2019,national,Multimodal Random Forest,0.3027910973609961,0.7457696688967379,0.4429785715357418,0.8912448848560124,0.3402598404086036,-0.5509850444474088
2018-2019,national,Multimodal Ridge,0.2967848903502249,0.8595366566799115,0.5627517663296866,0.8955166563844487,0.123620330224594,-0.7718963261598547
2018-2019,national,Multimodal XGBoost,0.3043671084105296,0.7140947062310219,0.4097275978204923,0.8901098097065874,0.3951117954055935,-0.4949980143009939
2018-2019,national,Stacking Ensemble (Super Learner),0.2969423467528608,0.6703084936929857,0.37336614694012493,0.8954057616855031,0.4670175194883982,-0.4283882421971049
2020-2022,lincolnshire,AR Baseline (Momentum Drift),0.5380740741072421,0.5380740741072421,0.0,0.3626700253702513,0.3626700253702513,0.0
2020-2022,lincolnshire,AR Baseline (Persistence),0.3138424590443786,0.3138424590443786,0.0,0.7831778700807436,0.7831778700807436,0.0
2020-2022,lincolnshire,Explainable Boosting Machine (EBM),0.2824026789706192,0.7568868675706518,0.4744841886000326,0.8244431276774599,-0.2610785841831144,-1.0855217118605742
2020-2022,lincolnshire,Multimodal CatBoost,0.2921972802298676,0.7808766734799512,0.4886793932500836,0.8120542329764125,-0.3422861522274298,-1.1543403852038423
2020-2022,lincolnshire,Multimodal ElasticNet,0.2487560017817656,0.914726226495776,0.6659702247140104,0.863784243675375,-0.8418848369024128,-1.7056690805777879
2020-2022,lincolnshire,Multimodal Extra-Trees,0.2780765032602524,0.8405985743290856,0.5625220710688332,0.8297807009673426,-0.5554552053092741,-1.3852359062766166
2020-2022,lincolnshire,Multimodal LightGBM,0.2816284135269746,0.7624539933932654,0.48082557986629076,0.8254044590873832,-0.2796980177619339,-1.1051024768493172
2020-2022,lincolnshire,Multimodal Random Forest,0.2737440436499445,0.7789865751900898,0.5052425315401454,0.8350434492764197,-0.3357960561571098,-1.1708395054335294
2020-2022,lincolnshire,Multimodal Ridge,0.2603411787667236,0.90394863099291,0.6436074522261864,0.8508009890314301,-0.7987371863047832,-1.6495381753362133
2020-2022,lincolnshire,Multimodal XGBoost,0.2845760244196249,0.759863046851985,0.47528702243236015,0.8217305903772134,-0.2710155381638974,-1.0927461285411109
2020-2022,lincolnshire,Stacking Ensemble (Super Learner),0.2591295517144213,0.785669720741708,0.5265401690272867,0.8521865009118558,-0.3588147184858892,-1.2110012193977449
2020-2022,national,AR Baseline (Momentum Drift),0.5498973558839373,0.5498973558839373,0.0,0.6353428755701971,0.6353428755701971,0.0
2020-2022,national,AR Baseline (Persistence),0.3288775104436354,0.3288775104436354,0.0,0.869566306456008,0.869566306456008,0.0
2020-2022,national,Explainable Boosting Machine (EBM),0.3447935947787242,0.7301109835666635,0.3853173887879393,0.856636096050012,0.3571654597903371,-0.4994706362596749
2020-2022,national,Multimodal CatBoost,0.3252661587191183,0.7462250375912274,0.4209588788721091,0.8724151222663934,0.3284767199841963,-0.5439384022821971
2020-2022,national,Multimodal ElasticNet,0.3185563414478872,0.8908331136945307,0.5722767722466435,0.8776246491493795,0.0429951378801898,-0.8346295112691897
2020-2022,national,Multimodal Extra-Trees,0.320711897195215,0.8461622690391715,0.5254503718439565,0.8759629062691142,0.1365667837353503,-0.739396122533764
2020-2022,national,Multimodal LightGBM,0.324893358185027,0.7318666891720973,0.4069733309870703,0.8727074149132165,0.3540700804764005,-0.518637334436816
2020-2022,national,Multimodal Random Forest,0.3249475781006847,0.7203223465855354,0.3953747684848507,0.8726649248532803,0.3742869449519457,-0.4983779799013346
2020-2022,national,Multimodal Ridge,0.329034448013655,0.8804014803721235,0.5513670323584685,0.8694417930410971,0.0652769156737015,-0.8041648773673956
2020-2022,national,Multimodal XGBoost,0.3235569106346351,0.726932849447357,0.40337593881272193,0.8737524961101735,0.3627497281137506,-0.5110027679964229
2020-2022,national,Stacking Ensemble (Super Learner),0.3299876507074517,0.7714075361719197,0.44141988546446803,0.8686842511060815,0.282388822340757,-0.5862954287653245
