Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%,History_Mode
lincolnshire,Validation (2017),AR Baseline (Persistence),0.30495858589756514,0.2446840639246563,0.7699667486263706,0.0,38.57142857142858,80.95238095238095,with_history
lincolnshire,Test (2018-2019 Aggregate),AR Baseline (Persistence),0.376447728742989,0.29175183648243824,0.6989617908404901,0.0,40.23809523809524,77.26190476190476,with_history
lincolnshire,Test (2018),AR Baseline (Persistence),0.3089352906065932,0.24142248930127483,0.7649149247416831,0.0,38.80952380952381,77.61904761904762,with_history
lincolnshire,Test (2019),AR Baseline (Persistence),0.4335721060784814,0.34208118366360163,0.6149776398761859,0.0,36.666666666666664,76.19047619047619,with_history
lincolnshire,Validation (2017),AR Baseline (Momentum Drift),0.39816719642258397,0.29797148109681804,0.6078611760046806,64.52380952380953,33.33333333333333,66.42857142857143,with_history
lincolnshire,Test (2018-2019 Aggregate),AR Baseline (Momentum Drift),0.47319090855559265,0.35200485172109275,0.524352691986953,59.285714285714285,29.523809523809526,62.73809523809524,with_history
lincolnshire,Test (2018),AR Baseline (Momentum Drift),0.43761393014457656,0.3263740152752766,0.5282930333560015,57.14285714285714,30.476190476190478,64.04761904761904,with_history
lincolnshire,Test (2019),AR Baseline (Momentum Drift),0.5062739574802877,0.37763568816690884,0.4750300314622967,61.42857142857143,24.523809523809522,63.57142857142857,with_history
lincolnshire,Validation (2017),Multimodal Ridge,0.2406788489415616,0.1832999397392231,0.8567202750043865,77.38095238095238,41.66666666666667,80.23809523809524,with_history
lincolnshire,Test (2018-2019 Aggregate),Multimodal Ridge,0.2764199651241161,0.20526628288263946,0.8376878333623068,79.4047619047619,42.26190476190476,80.47619047619048,with_history
lincolnshire,Test (2018),Multimodal Ridge,0.2396942947324666,0.18171060233825614,0.8584840444198255,74.04761904761905,39.04761904761905,82.85714285714286,with_history
lincolnshire,Test (2019),Multimodal Ridge,0.30880841845898666,0.2288219634270228,0.8046823249201488,84.76190476190476,35.714285714285715,77.61904761904762,with_history
lincolnshire,Validation (2017),Multimodal ElasticNet,0.2417216020393068,0.1845968769386781,0.8554760524159897,78.0952380952381,39.523809523809526,82.14285714285714,with_history
lincolnshire,Test (2018-2019 Aggregate),Multimodal ElasticNet,0.29160457573355203,0.21544581211399125,0.8193654056014241,78.92857142857143,41.66666666666667,80.35714285714286,with_history
lincolnshire,Test (2018),Multimodal ElasticNet,0.2442194989001039,0.18590883204590836,0.8530902275864041,74.52380952380952,40.0,82.61904761904762,with_history
lincolnshire,Test (2019),Multimodal ElasticNet,0.3323000053181943,0.24498279218207408,0.7738357377311659,83.33333333333334,38.80952380952381,77.61904761904762,with_history
lincolnshire,Validation (2017),Multimodal Random Forest,0.25544401059213745,0.1920584682346461,0.8386011871015361,77.38095238095238,40.23809523809524,80.95238095238095,with_history
lincolnshire,Test (2018-2019 Aggregate),Multimodal Random Forest,0.30132213426779436,0.22196409802903005,0.807125715009197,75.59523809523809,40.595238095238095,79.88095238095238,with_history
lincolnshire,Test (2018),Multimodal Random Forest,0.25575126756888183,0.19119591661805738,0.8388888476091405,72.14285714285714,40.476190476190474,82.14285714285714,with_history
lincolnshire,Test (2019),Multimodal Random Forest,0.3408538489386729,0.2527322794400027,0.7620423405017525,79.04761904761905,37.38095238095238,77.14285714285715,with_history
lincolnshire,Validation (2017),Multimodal Extra-Trees,0.2483481341964316,0.1902548767556276,0.8474435090024188,78.0952380952381,39.523809523809526,81.42857142857143,with_history
lincolnshire,Test (2018-2019 Aggregate),Multimodal Extra-Trees,0.3102665459077731,0.23164991660754933,0.7955052508390505,73.33333333333333,40.476190476190474,79.52380952380952,with_history
lincolnshire,Test (2018),Multimodal Extra-Trees,0.25653667294313914,0.19466707004056696,0.8378977920190602,70.71428571428572,40.476190476190474,80.95238095238095,with_history
lincolnshire,Test (2019),Multimodal Extra-Trees,0.3559769577575849,0.26863276317453166,0.740458351880023,75.95238095238095,39.76190476190476,76.90476190476191,with_history
lincolnshire,Validation (2017),Multimodal LightGBM,0.25133643208262507,0.18956149836482397,0.8437500888802834,77.14285714285715,39.523809523809526,81.9047619047619,with_history
lincolnshire,Test (2018-2019 Aggregate),Multimodal LightGBM,0.30875505331050646,0.2252146445550075,0.7974928284076318,74.40476190476191,39.04761904761905,79.52380952380952,with_history
lincolnshire,Test (2018),Multimodal LightGBM,0.25642011885627986,0.1911017695938646,0.838045056599716,72.61904761904762,37.61904761904762,82.38095238095238,with_history
lincolnshire,Test (2019),Multimodal LightGBM,0.35342338425078595,0.2593275195161504,0.7441686007475179,76.19047619047619,35.95238095238095,76.66666666666667,with_history
lincolnshire,Validation (2017),Multimodal XGBoost,0.25308180301459443,0.1917222106205492,0.8415724422641631,75.47619047619048,40.476190476190474,81.19047619047619,with_history
lincolnshire,Test (2018-2019 Aggregate),Multimodal XGBoost,0.314057703938128,0.23112768870445696,0.79047726146445,72.38095238095238,38.452380952380956,79.16666666666666,with_history
lincolnshire,Test (2018),Multimodal XGBoost,0.2597648510841187,0.19452264935460006,0.8337924351642727,72.85714285714285,40.0,81.42857142857143,with_history
lincolnshire,Test (2019),Multimodal XGBoost,0.36025921910066844,0.2677327280543139,0.7341764274810103,71.9047619047619,36.42857142857142,75.71428571428571,with_history
lincolnshire,Validation (2017),Multimodal CatBoost,0.2502685038938569,0.19108363968792794,0.8450750793037005,76.42857142857142,37.38095238095238,80.95238095238095,with_history
lincolnshire,Test (2018-2019 Aggregate),Multimodal CatBoost,0.33874647772996,0.24868518148433102,0.7562403399253405,70.5952380952381,40.11904761904762,78.92857142857143,with_history
lincolnshire,Test (2018),Multimodal CatBoost,0.26659760901178114,0.2007810352598857,0.824933715529911,70.0,39.76190476190476,82.38095238095238,with_history
lincolnshire,Test (2019),Multimodal CatBoost,0.3980252092746264,0.29658932770877633,0.6755226081277255,71.19047619047619,36.904761904761905,77.38095238095238,with_history
lincolnshire,Validation (2017),Explainable Boosting Machine (EBM),0.2645253210917445,0.20129185139914574,0.8269213942091442,71.9047619047619,36.904761904761905,79.76190476190477,with_history
lincolnshire,Test (2018-2019 Aggregate),Explainable Boosting Machine (EBM),0.3140966134667527,0.23566694650239567,0.7904253414771062,71.30952380952381,38.92857142857143,77.38095238095238,with_history
lincolnshire,Test (2018),Explainable Boosting Machine (EBM),0.25761768892107884,0.19578809677686318,0.8365287535491798,70.95238095238095,36.19047619047619,81.9047619047619,with_history
