Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%,History_Mode
national,Validation (2017),AR Baseline (Persistence),0.3346089634937338,0.26041082431902657,0.8459091049769552,0.0,45.079771038850325,85.96090610157107,with_history
national,Test (2018-2019 Aggregate),AR Baseline (Persistence),0.3786910729554603,0.29624722515098273,0.8298885197950644,0.0,44.6443794909268,85.2910729509195,with_history
national,Test (2018),AR Baseline (Persistence),0.38031952267379543,0.2974516734015685,0.819106753568863,0.0,43.69747899159664,84.5085860431129,with_history
national,Test (2019),AR Baseline (Persistence),0.37705559025890595,0.295042776900397,0.8352580488279369,0.0,44.93362562416271,85.85129704055535,with_history
national,Validation (2017),AR Baseline (Momentum Drift),0.4671098249574813,0.35228612268779697,0.6997107116762961,58.06235537693338,33.99403239556692,71.73913043478261,with_history
national,Test (2018-2019 Aggregate),AR Baseline (Momentum Drift),0.4909287603168594,0.3721903133316607,0.7141090292332919,60.24388016075996,34.03209109730849,71.59907441237364,with_history
national,Test (2018),AR Baseline (Momentum Drift),0.47899554427802127,0.36376685796244546,0.7130620036237896,59.459870904883694,33.71696504688832,71.31287297527706,with_history
national,Test (2019),AR Baseline (Momentum Drift),0.5025787142073359,0.38061376870087604,0.707314222617256,61.027889416636214,33.61953477042991,71.36158811350627,with_history
national,Validation (2017),Multimodal Ridge,0.2662390615514274,0.201057579241038,0.9024459320309693,75.51455364754598,47.18670076726343,88.08001461454147,with_history
national,Test (2018-2019 Aggregate),Multimodal Ridge,0.2967848903502249,0.22228333102875553,0.8955166563844487,78.57295091949823,46.933990987699424,87.53501400560224,with_history
national,Test (2018),Multimodal Ridge,0.2986179888577742,0.22329519184540064,0.8884788994020256,78.62014370965778,45.853123858238945,86.61247107538668,with_history
national,Test (2019),Multimodal Ridge,0.2949403990824727,0.2212714702121104,0.8991996675709842,78.5257581293387,47.26586286688588,88.32359030568749,with_history
national,Validation (2017),Multimodal ElasticNet,0.26824350847220163,0.20208486195463293,0.9009714823909644,75.44757033248082,46.909633418584825,87.97345024966509,with_history
national,Test (2018-2019 Aggregate),Multimodal ElasticNet,0.3037145834055947,0.22629308443957874,0.8905804862713893,78.19388625015223,46.90811107051516,87.38734624284497,with_history
national,Test (2018),Multimodal ElasticNet,0.3040561757877314,0.22621872661011844,0.8843800513333461,78.31871879186457,45.94142004627938,86.60638168310803,with_history
national,Test (2019),Multimodal ElasticNet,0.3033726063965038,0.22636744226903907,0.8933536090835994,78.0690537084399,47.195834855681404,88.22311533308975,with_history
national,Validation (2017),Multimodal Random Forest,0.2692496272318926,0.20267571803962933,0.9002272235445477,75.60893922786505,46.84873949579832,87.89428815004263,with_history
national,Test (2018-2019 Aggregate),Multimodal Random Forest,0.3027910973609961,0.22503639364208555,0.8912448848560124,78.09341127755451,46.86244062842528,87.33863110461576,with_history
national,Test (2018),Multimodal Random Forest,0.302287384995402,0.22483569438768,0.8857213341257557,78.41310437218365,45.67044208987943,86.3140908537328,with_history
national,Test (2019),Multimodal Random Forest,0.30329397315936574,0.22523709289649113,0.8934088867452198,77.77371818292535,46.8822311533309,88.00998660333698,with_history
national,Validation (2017),Multimodal Extra-Trees,0.270210987888142,0.2031324148961298,0.8995134705812668,75.5419559127999,46.79393496529046,87.84557301181341,with_history
national,Test (2018-2019 Aggregate),Multimodal Extra-Trees,0.3133917379953778,0.2337574274228909,0.8834966068093594,77.35811715990744,46.51230057240288,87.1087565460967,with_history
national,Test (2018),Multimodal Extra-Trees,0.3071685606558297,0.22879384963711114,0.8820009149888772,78.42528315674096,45.53647545974911,86.40543173791255,with_history
