Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%,History_Mode
lincolnshire,Validation (2017),AR Baseline (Persistence),0.30495858589756514,0.2446840639246563,0.7699667486263706,0.0,38.57142857142858,80.95238095238095,without_history
lincolnshire,Test (2018-2019 Aggregate),AR Baseline (Persistence),0.376447728742989,0.29175183648243824,0.6989617908404901,0.0,40.23809523809524,77.26190476190476,without_history
lincolnshire,Test (2018),AR Baseline (Persistence),0.3089352906065932,0.24142248930127483,0.7649149247416831,0.0,38.80952380952381,77.61904761904762,without_history
lincolnshire,Test (2019),AR Baseline (Persistence),0.4335721060784814,0.34208118366360163,0.6149776398761859,0.0,36.666666666666664,76.19047619047619,without_history
lincolnshire,Validation (2017),AR Baseline (Momentum Drift),0.39816719642258397,0.29797148109681804,0.6078611760046806,64.52380952380953,33.33333333333333,66.42857142857143,without_history
lincolnshire,Test (2018-2019 Aggregate),AR Baseline (Momentum Drift),0.47319090855559265,0.35200485172109275,0.524352691986953,59.285714285714285,29.523809523809526,62.73809523809524,without_history
lincolnshire,Test (2018),AR Baseline (Momentum Drift),0.43761393014457656,0.3263740152752766,0.5282930333560015,57.14285714285714,30.476190476190478,64.04761904761904,without_history
lincolnshire,Test (2019),AR Baseline (Momentum Drift),0.5062739574802877,0.37763568816690884,0.4750300314622967,61.42857142857143,24.523809523809522,63.57142857142857,without_history
lincolnshire,Validation (2017),Multimodal Ridge,0.4897185840384142,0.3772068240676876,0.406798749430903,50.71428571428571,26.666666666666668,61.42857142857143,without_history
lincolnshire,Test (2018-2019 Aggregate),Multimodal Ridge,0.7494440826373274,0.6300206721088839,-0.19313814136063256,32.5,25.11904761904762,56.666666666666664,without_history
lincolnshire,Test (2018),Multimodal Ridge,0.5994005588203369,0.4894134965837633,0.11503865467092056,41.66666666666667,23.809523809523807,59.04761904761905,without_history
lincolnshire,Test (2019),Multimodal Ridge,0.8741005869384131,0.7706278476340044,-0.5648982593478875,23.333333333333332,25.71428571428571,60.238095238095234,without_history
lincolnshire,Validation (2017),Multimodal ElasticNet,0.512433111857678,0.3848839631763009,0.35049386560279616,52.85714285714286,27.142857142857142,59.523809523809526,without_history
lincolnshire,Test (2018-2019 Aggregate),Multimodal ElasticNet,0.7654343175265094,0.6417902375504132,-0.24459519031830323,32.61904761904762,25.11904761904762,57.738095238095234,without_history
lincolnshire,Test (2018),Multimodal ElasticNet,0.6171711178654299,0.5029780802922078,0.06178752734943371,42.142857142857146,24.047619047619047,59.76190476190476,without_history
lincolnshire,Test (2019),Multimodal ElasticNet,0.8893138929350436,0.7806023948086187,-0.6198449179000414,23.095238095238095,29.28571428571429,59.523809523809526,without_history
lincolnshire,Validation (2017),Multimodal Random Forest,0.3845747019291893,0.3208117518228815,0.6341775854422291,39.04761904761905,38.095238095238095,80.0,without_history
lincolnshire,Test (2018-2019 Aggregate),Multimodal Random Forest,0.6816864165972868,0.6004917422703346,0.012853659562214181,27.142857142857142,32.5,70.0,without_history
lincolnshire,Test (2018),Multimodal Random Forest,0.5176354042593032,0.4536682169876175,0.34000908127939766,36.42857142857142,36.42857142857142,76.19047619047619,without_history
lincolnshire,Test (2019),Multimodal Random Forest,0.8132935075382116,0.7473152675530518,-0.3547460534071054,17.857142857142858,34.76190476190476,70.47619047619048,without_history
lincolnshire,Validation (2017),Multimodal Extra-Trees,0.40480028551698105,0.34140057358995307,0.5946870238123729,36.904761904761905,42.142857142857146,80.47619047619048,without_history
lincolnshire,Test (2018-2019 Aggregate),Multimodal Extra-Trees,0.7052949139469032,0.6262548248844233,-0.05670500256257549,26.190476190476193,34.404761904761905,70.83333333333334,without_history
lincolnshire,Test (2018),Multimodal Extra-Trees,0.5403028384110778,0.4784639539541649,0.28094102315620606,34.285714285714285,35.95238095238095,76.90476190476191,without_history
lincolnshire,Test (2019),Multimodal Extra-Trees,0.8384239226570721,0.7740456958146816,-0.4397616678851457,18.095238095238095,35.714285714285715,72.38095238095238,without_history
lincolnshire,Validation (2017),Multimodal LightGBM,0.3209029256682414,0.2579472775774365,0.745283991327231,53.095238095238095,39.523809523809526,79.76190476190477,without_history
lincolnshire,Test (2018-2019 Aggregate),Multimodal LightGBM,0.6076013705347268,0.5203927871823751,0.21575862885764696,33.095238095238095,31.785714285714285,69.4047619047619,without_history
lincolnshire,Test (2018),Multimodal LightGBM,0.4481975854353345,0.37911038098244115,0.5052007423052011,43.80952380952381,35.0,74.76190476190476,without_history
lincolnshire,Test (2019),Multimodal LightGBM,0.7331287576962814,0.6616751933823092,-0.1008389684784472,22.380952380952383,33.095238095238095,69.52380952380952,without_history
lincolnshire,Validation (2017),Multimodal XGBoost,0.3163496162428795,0.255298441773094,0.7524610687047277,53.80952380952381,38.80952380952381,78.57142857142857,without_history
lincolnshire,Test (2018-2019 Aggregate),Multimodal XGBoost,0.6055660361864472,0.5191218616781414,0.22100390980807427,31.547619047619047,33.69047619047619,69.28571428571428,without_history
lincolnshire,Test (2018),Multimodal XGBoost,0.4470892675933541,0.3778142252611718,0.5076448286583046,41.42857142857143,34.76190476190476,76.42857142857142,without_history
lincolnshire,Test (2019),Multimodal XGBoost,0.730432498707423,0.6604294980951111,-0.09275665308043957,21.666666666666668,34.04761904761905,71.66666666666667,without_history
lincolnshire,Validation (2017),Multimodal CatBoost,0.3589632080027524,0.28855353234791153,0.6812804062068114,52.38095238095239,35.95238095238095,75.0,without_history
lincolnshire,Test (2018-2019 Aggregate),Multimodal CatBoost,0.6370643736945755,0.5439693009846758,0.13785781253030027,32.857142857142854,33.214285714285715,67.5,without_history
lincolnshire,Test (2018),Multimodal CatBoost,0.4788797477202744,0.4021600018521377,0.43513722435610414,43.80952380952381,34.04761904761905,74.52380952380952,without_history
lincolnshire,Test (2019),Multimodal CatBoost,0.7631357806348027,0.6857786001172139,-0.19279803990697553,21.904761904761905,31.666666666666664,70.23809523809523,without_history
lincolnshire,Validation (2017),Explainable Boosting Machine (EBM),0.31175665733490704,0.24781385336047623,0.759596735773337,57.61904761904761,38.80952380952381,76.42857142857142,without_history
lincolnshire,Test (2018-2019 Aggregate),Explainable Boosting Machine (EBM),0.5979942604712235,0.5065375436623873,0.24036268396028726,32.73809523809524,30.714285714285715,66.30952380952381,without_history
lincolnshire,Test (2018),Explainable Boosting Machine (EBM),0.4410689404425933,0.36887275501863487,0.5208152733836755,40.476190476190474,36.666666666666664,74.52380952380952,without_history
lincolnshire,Test (2019),Explainable Boosting Machine (EBM),0.7215625135010126,0.6442023323061399,-0.06637807971971843,25.0,31.666666666666664,67.61904761904762,without_history
lincolnshire,Validation (2017),Stacking Ensemble (Super Learner),0.2774410562025563,0.21750808863135673,0.8096072766629765,67.85714285714286,38.333333333333336,79.52380952380952,without_history
lincolnshire,Test (2018-2019 Aggregate),Stacking Ensemble (Super Learner),0.5491838208385562,0.45597797167733345,0.3593103210564421,38.452380952380956,32.73809523809524,68.80952380952381,without_history
lincolnshire,Test (2018),Stacking Ensemble (Super Learner),0.39489795428778357,0.32103367377923014,0.6158863132577916,49.523809523809526,34.76190476190476,74.76190476190476,without_history
lincolnshire,Test (2019),Stacking Ensemble (Super Learner),0.6687760042353452,0.5909222695754367,0.08393846412860873,27.380952380952383,33.80952380952381,68.57142857142857,without_history
