feature,mean_abs_shap,importance_pct,domain
rolling_mean_3yr,0.1224678065417455,15.70703674218383,1_Temporal_History
lag_1,0.10874187727155865,13.94662572923773,1_Temporal_History
rolling_max_3yr,0.09826781310868317,12.603280769513987,1_Temporal_History
lag_2,0.05182936083022018,6.647344292940162,1_Temporal_History
spatial_lag_1,0.04942676298364854,6.339200514436798,2_Geography_Accessibility
rolling_min_3yr,0.039326372179603504,5.043780812317179,1_Temporal_History
lad_mean_samhi_lag_1,0.0355348109628344,4.557496350925023,2_Geography_Accessibility
lag_3,0.03159008256598724,4.051567522632552,1_Temporal_History
decile_lag_1,0.028143910299964544,3.6095807186649114,1_Temporal_History
one_person_household_pct,0.016381564525880687,2.101007956035822,4_Demographics_Vulnerability
gas_grid_disconnection_pct,0.01378867160922672,1.7684579948625596,3_Deprivation_Economics
pct_social_grade_de,0.01237344890336772,1.5869494362706904,3_Deprivation_Economics
married_no_children_pct,0.011167046011322197,1.432222940497479,4_Demographics_Vulnerability
pct_disability_limited,0.010198521185224218,1.3080053566375718,4_Demographics_Vulnerability
unemployment_rate,0.009732945333833981,1.2482931987198316,3_Deprivation_Economics
no_car_pct,0.009060317596872595,1.1620257225838628,2_Geography_Accessibility
delta_1,0.008709027673270586,1.1169712393446707,1_Temporal_History
qof_mh002_pct,0.008525671336139032,1.0934549798021609,5_Other
imd_2019_score,0.007766854734769598,0.9961334013820721,3_Deprivation_Economics
one_person_household_pct,0.007207058911407819,0.924337116187176,4_Demographics_Vulnerability
lone_parent_pct,0.006999328546341911,0.8976947799790456,4_Demographics_Vulnerability
spatial_delta_1,0.006142484027690494,0.7878006884880785,2_Geography_Accessibility
married_dependent_children_pct,0.0057893576721867535,0.7425106747517741,4_Demographics_Vulnerability
pension_credit_rate,0.005475728295900379,0.702286322933412,3_Deprivation_Economics
imd_2025_decile,0.005180834365333869,0.6644648747238672,3_Deprivation_Economics
acceleration,0.00473967337642381,0.6078840306824868,1_Temporal_History
qof_mh021_pct,0.00442886097092374,0.5680209678011242,5_Other
underoccupied_2plus_bedrooms_pct,0.0043359484785153455,0.5561045305489467,6_Housing
rolling_std_3yr,0.004015418785801088,0.5149951826918214,1_Temporal_History
gp_car_time,0.003725547382376817,0.477817895756896,2_Geography_Accessibility
one_person_aged_66_plus_pct,0.0032315414828725272,0.41445945868286765,4_Demographics_Vulnerability
pct_no_qualifications,0.0031635006360523363,0.40573291975682146,4_Demographics_Vulnerability
delta_2,0.0029044421553263626,0.3725075261612386,1_Temporal_History
occupancy_balanced_pct,0.0028852381404380575,0.3700445264883798,6_Housing
avg_download_speed,0.0028739678176079517,0.36859905784002606,2_Geography_Accessibility
hosp_car_time,0.0024534123982677732,0.3146609690456535,2_Geography_Accessibility
social_rented_pct,0.002280071495865847,0.29242923321373687,6_Housing
overcrowded_bedrooms_pct,0.0021226205442360074,0.2722354537040279,6_Housing
overcrowded_1_bedroom_pct,0.0020864590554763346,0.26759758315960336,6_Housing
other_households_dependent_children_pct,0.001964652478576316,0.2519753520375323,4_Demographics_Vulnerability
other_household_types_pct,0.0018744984419530805,0.2404126989151817,4_Demographics_Vulnerability
cohabiting_dependent_children_pct,0.001749529670915619,0.22438490243756717,4_Demographics_Vulnerability
pct_aged_65_plus,0.0017301720690816144,0.2219022045610143,4_Demographics_Vulnerability
rent_free_pct,0.0016177702739716647,0.20748617821471413,6_Housing
underoccupied_1_bedroom_pct,0.0015209457910581102,0.19506801091335277,6_Housing
is_rural,0.0015092505837745785,0.1935680489584755,2_Geography_Accessibility
shared_ownership_pct,0.0014092226188527858,0.18073902094990316,6_Housing
hosp_pt_time,0.001254299292807358,0.16086942057792789,2_Geography_Accessibility
owner_occupied_pct,0.0012030211252743934,0.15429276925823934,6_Housing
overcrowded_2plus_bedrooms_pct,0.001197389754660016,0.15357052112098107,6_Housing
lone_parent_pct,0.001192747869020049,0.15297517879911854,4_Demographics_Vulnerability
cohabiting_household_pct,0.0011706882270180819,0.15014593234465368,4_Demographics_Vulnerability
fuel_poverty_pct,0.0010593833459842054,0.13587059007021224,3_Deprivation_Economics
one_person_other_pct,0.0010405205528528447,0.13345135359377952,4_Demographics_Vulnerability
private_rented_pct,0.0009440432967009301,0.12107771965720157,6_Housing
gp_pt_time,0.0008197687673725661,0.10513896274305008,2_Geography_Accessibility
pensioner_couple_household_pct,0.0007420212861980856,0.09516750511754302,4_Demographics_Vulnerability
lone_parent_dependent_children_pct,0.0006259757909333106,0.08028415814367991,4_Demographics_Vulnerability
isolation_normalized,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
qof_mh_pca_pct,0.0,0.0,5_Other
