feature,mean_abs_shap,importance_pct,domain
lag_1,0.16994363412466754,29.951001059192233,1_Temporal_History
rolling_mean_3yr,0.09203499104862208,16.220319923003885,1_Temporal_History
rolling_max_3yr,0.08917723996331688,15.71666760190491,1_Temporal_History
spatial_lag_1,0.04674495436555107,8.238367885480521,2_Geography_Accessibility
lag_2,0.04236353001115398,7.466182177229447,1_Temporal_History
rolling_min_3yr,0.0385926516636984,6.801599582179872,1_Temporal_History
pct_disability_limited,0.017487975983107265,3.0820947774303624,4_Demographics_Vulnerability
lag_3,0.016541043995010104,2.9152067317288353,1_Temporal_History
spatial_delta_1,0.012901805095479097,2.273824377538697,2_Geography_Accessibility
lad_mean_samhi_lag_1,0.01092998499324217,1.9263092365637142,2_Geography_Accessibility
imd_2019_score,0.010178813532925705,1.7939221817648916,3_Deprivation_Economics
one_person_household_pct,0.005198523883992616,0.9161919783442998,4_Demographics_Vulnerability
one_person_household_pct,0.0051921657960941085,0.9150714238830306,4_Demographics_Vulnerability
other_households_dependent_children_pct,0.0029241145421593307,0.5153482694454229,4_Demographics_Vulnerability
lone_parent_pct,0.002580623215740788,0.4548110852527034,4_Demographics_Vulnerability
lone_parent_pct,0.002570150531913956,0.45296537113692825,4_Demographics_Vulnerability
social_rented_pct,0.001099598427219959,0.193794100190839,6_Housing
other_household_types_pct,0.0009437215624153272,0.166322237729417,4_Demographics_Vulnerability
delta_2,0.0,0.0,1_Temporal_History
rolling_std_3yr,0.0,0.0,1_Temporal_History
decile_lag_1,0.0,0.0,1_Temporal_History
pct_aged_65_plus,0.0,0.0,4_Demographics_Vulnerability
unemployment_rate,0.0,0.0,3_Deprivation_Economics
pct_no_qualifications,0.0,0.0,4_Demographics_Vulnerability
is_rural,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
imd_2025_decile,0.0,0.0,3_Deprivation_Economics
pension_credit_rate,0.0,0.0,3_Deprivation_Economics
pct_social_grade_de,0.0,0.0,3_Deprivation_Economics
acceleration,0.0,0.0,1_Temporal_History
delta_1,0.0,0.0,1_Temporal_History
hosp_pt_time,0.0,0.0,2_Geography_Accessibility
gp_car_time,0.0,0.0,2_Geography_Accessibility
gp_pt_time,0.0,0.0,2_Geography_Accessibility
avg_download_speed,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
hosp_car_time,0.0,0.0,2_Geography_Accessibility
qof_mh002_pct,0.0,0.0,5_Healthcare_Service
no_car_pct,0.0,0.0,2_Geography_Accessibility
fuel_poverty_pct,0.0,0.0,3_Deprivation_Economics
gas_grid_disconnection_pct,0.0,0.0,3_Deprivation_Economics
owner_occupied_pct,0.0,0.0,6_Housing
shared_ownership_pct,0.0,0.0,6_Housing
qof_mh_pca_pct,0.0,0.0,5_Healthcare_Service
qof_dep_pca_pct,0.0,0.0,5_Healthcare_Service
qof_dep004_pct,0.0,0.0,5_Healthcare_Service
qof_mh021_pct,0.0,0.0,5_Healthcare_Service
underoccupied_1_bedroom_pct,0.0,0.0,6_Housing
underoccupied_2plus_bedrooms_pct,0.0,0.0,6_Housing
rent_free_pct,0.0,0.0,6_Housing
private_rented_pct,0.0,0.0,6_Housing
overcrowded_bedrooms_pct,0.0,0.0,6_Housing
occupancy_balanced_pct,0.0,0.0,6_Housing
overcrowded_2plus_bedrooms_pct,0.0,0.0,6_Housing
overcrowded_1_bedroom_pct,0.0,0.0,6_Housing
pensioner_couple_household_pct,0.0,0.0,4_Demographics_Vulnerability
one_person_other_pct,0.0,0.0,4_Demographics_Vulnerability
one_person_aged_66_plus_pct,0.0,0.0,4_Demographics_Vulnerability
married_no_children_pct,0.0,0.0,4_Demographics_Vulnerability
cohabiting_dependent_children_pct,0.0,0.0,4_Demographics_Vulnerability
cohabiting_household_pct,0.0,0.0,4_Demographics_Vulnerability
married_dependent_children_pct,0.0,0.0,4_Demographics_Vulnerability
lone_parent_dependent_children_pct,0.0,0.0,4_Demographics_Vulnerability
