feature,mean_abs_shap,importance_pct,domain
lag_1,0.09518595471438639,23.509538019930215,1_Temporal_History
spatial_lag_1,0.09056170204438224,22.36741527413823,2_Geography_Accessibility
rolling_max_3yr,0.05084079433809952,12.556932281043293,1_Temporal_History
rolling_mean_3yr,0.050332599847323405,12.431415677902951,1_Temporal_History
rolling_min_3yr,0.03426286374906224,8.462425999689255,1_Temporal_History
lag_2,0.03212237987415341,7.93375780290317,1_Temporal_History
pct_disability_limited,0.018136775147487467,4.479518077726839,4_Demographics_Vulnerability
lad_mean_samhi_lag_1,0.010831083846677875,2.67511922588344,2_Geography_Accessibility
pct_social_grade_de,0.0068593755848713875,1.694165400655923,3_Deprivation_Economics
cohabiting_dependent_children_pct,0.005541794711038949,1.368742204128222,4_Demographics_Vulnerability
lag_3,0.0038872353242672872,0.9600902456932054,1_Temporal_History
imd_2019_score,0.003243788917736823,0.801168398415362,3_Deprivation_Economics
delta_1,0.0010707947706984856,0.2644706401150771,1_Temporal_History
overcrowded_2plus_bedrooms_pct,0.0007661980933388287,0.1892397177734538,6_Housing
one_person_household_pct,0.00048274999368409137,0.11923218467148386,4_Demographics_Vulnerability
one_person_household_pct,0.00047573266552276237,0.1174990072956608,4_Demographics_Vulnerability
decile_lag_1,0.00028046131920379797,0.06926984203421484,1_Temporal_History
spatial_delta_1,0.0,0.0,2_Geography_Accessibility
imd_2025_decile,0.0,0.0,3_Deprivation_Economics
pension_credit_rate,0.0,0.0,3_Deprivation_Economics
rolling_std_3yr,0.0,0.0,1_Temporal_History
delta_2,0.0,0.0,1_Temporal_History
pct_no_qualifications,0.0,0.0,4_Demographics_Vulnerability
lone_parent_pct,0.0,0.0,4_Demographics_Vulnerability
is_rural,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
avg_download_speed,0.0,0.0,2_Geography_Accessibility
unemployment_rate,0.0,0.0,3_Deprivation_Economics
pct_aged_65_plus,0.0,0.0,4_Demographics_Vulnerability
acceleration,0.0,0.0,1_Temporal_History
hosp_pt_time,0.0,0.0,2_Geography_Accessibility
gp_car_time,0.0,0.0,2_Geography_Accessibility
gp_pt_time,0.0,0.0,2_Geography_Accessibility
hosp_car_time,0.0,0.0,2_Geography_Accessibility
qof_mh_pca_pct,0.0,0.0,5_Healthcare_Service
no_car_pct,0.0,0.0,2_Geography_Accessibility
qof_mh002_pct,0.0,0.0,5_Healthcare_Service
qof_mh021_pct,0.0,0.0,5_Healthcare_Service
gas_grid_disconnection_pct,0.0,0.0,3_Deprivation_Economics
owner_occupied_pct,0.0,0.0,6_Housing
shared_ownership_pct,0.0,0.0,6_Housing
social_rented_pct,0.0,0.0,6_Housing
private_rented_pct,0.0,0.0,6_Housing
qof_dep_pca_pct,0.0,0.0,5_Healthcare_Service
qof_dep004_pct,0.0,0.0,5_Healthcare_Service
fuel_poverty_pct,0.0,0.0,3_Deprivation_Economics
underoccupied_1_bedroom_pct,0.0,0.0,6_Housing
underoccupied_2plus_bedrooms_pct,0.0,0.0,6_Housing
rent_free_pct,0.0,0.0,6_Housing
overcrowded_1_bedroom_pct,0.0,0.0,6_Housing
overcrowded_bedrooms_pct,0.0,0.0,6_Housing
one_person_aged_66_plus_pct,0.0,0.0,4_Demographics_Vulnerability
one_person_other_pct,0.0,0.0,4_Demographics_Vulnerability
occupancy_balanced_pct,0.0,0.0,6_Housing
pensioner_couple_household_pct,0.0,0.0,4_Demographics_Vulnerability
married_no_children_pct,0.0,0.0,4_Demographics_Vulnerability
married_dependent_children_pct,0.0,0.0,4_Demographics_Vulnerability
cohabiting_household_pct,0.0,0.0,4_Demographics_Vulnerability
lone_parent_pct,0.0,0.0,4_Demographics_Vulnerability
lone_parent_dependent_children_pct,0.0,0.0,4_Demographics_Vulnerability
other_household_types_pct,0.0,0.0,4_Demographics_Vulnerability
other_households_dependent_children_pct,0.0,0.0,4_Demographics_Vulnerability
