feature,mean_abs_shap,importance_pct,domain
lag_1,0.1618041411570596,31.936828453601485,1_Temporal_History
rolling_max_3yr,0.09062156255964476,17.886843173286827,1_Temporal_History
rolling_mean_3yr,0.08916940425018893,17.60021682067979,1_Temporal_History
spatial_lag_1,0.039105799059429985,7.718684992677241,2_Geography_Accessibility
lag_3,0.02847458296694548,5.620300352019165,1_Temporal_History
lag_2,0.024132157305320607,4.7631943321354475,1_Temporal_History
rolling_min_3yr,0.01775963371748449,3.505388498577079,1_Temporal_History
lad_mean_samhi_lag_1,0.013914161167094732,2.746370859803421,2_Geography_Accessibility
imd_2019_score,0.013059716397147607,2.577720936224579,3_Deprivation_Economics
one_person_household_pct,0.006996791624722625,1.3810235773104167,4_Demographics_Vulnerability
one_person_household_pct,0.00698658987540043,1.3790099606273103,4_Demographics_Vulnerability
social_rented_pct,0.004126275476127262,0.8144423936928981,6_Housing
spatial_delta_1,0.004052771738382387,0.7999342590662449,2_Geography_Accessibility
qof_mh002_pct,0.0028537838965915314,0.5632785792585236,5_Healthcare_Service
pct_disability_limited,0.002100916601435964,0.41467797187128025,4_Demographics_Vulnerability
pension_credit_rate,0.0007266935498066856,0.1434344453272495,3_Deprivation_Economics
married_dependent_children_pct,0.000664951906162193,0.13124790753274682,4_Demographics_Vulnerability
delta_1,8.816762613736346e-05,0.017402486308289354,1_Temporal_History
imd_2025_decile,0.0,0.0,3_Deprivation_Economics
rolling_std_3yr,0.0,0.0,1_Temporal_History
decile_lag_1,0.0,0.0,1_Temporal_History
delta_2,0.0,0.0,1_Temporal_History
pct_no_qualifications,0.0,0.0,4_Demographics_Vulnerability
lone_parent_pct,0.0,0.0,4_Demographics_Vulnerability
is_rural,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
pct_social_grade_de,0.0,0.0,3_Deprivation_Economics
unemployment_rate,0.0,0.0,3_Deprivation_Economics
pct_aged_65_plus,0.0,0.0,4_Demographics_Vulnerability
acceleration,0.0,0.0,1_Temporal_History
hosp_pt_time,0.0,0.0,2_Geography_Accessibility
gp_car_time,0.0,0.0,2_Geography_Accessibility
gp_pt_time,0.0,0.0,2_Geography_Accessibility
avg_download_speed,0.0,0.0,2_Geography_Accessibility
qof_mh_pca_pct,0.0,0.0,5_Healthcare_Service
qof_dep_pca_pct,0.0,0.0,5_Healthcare_Service
no_car_pct,0.0,0.0,2_Geography_Accessibility
hosp_car_time,0.0,0.0,2_Geography_Accessibility
fuel_poverty_pct,0.0,0.0,3_Deprivation_Economics
gas_grid_disconnection_pct,0.0,0.0,3_Deprivation_Economics
owner_occupied_pct,0.0,0.0,6_Housing
shared_ownership_pct,0.0,0.0,6_Housing
private_rented_pct,0.0,0.0,6_Housing
rent_free_pct,0.0,0.0,6_Housing
qof_dep004_pct,0.0,0.0,5_Healthcare_Service
qof_mh021_pct,0.0,0.0,5_Healthcare_Service
underoccupied_1_bedroom_pct,0.0,0.0,6_Housing
underoccupied_2plus_bedrooms_pct,0.0,0.0,6_Housing
overcrowded_2plus_bedrooms_pct,0.0,0.0,6_Housing
occupancy_balanced_pct,0.0,0.0,6_Housing
overcrowded_bedrooms_pct,0.0,0.0,6_Housing
one_person_aged_66_plus_pct,0.0,0.0,4_Demographics_Vulnerability
one_person_other_pct,0.0,0.0,4_Demographics_Vulnerability
overcrowded_1_bedroom_pct,0.0,0.0,6_Housing
pensioner_couple_household_pct,0.0,0.0,4_Demographics_Vulnerability
married_no_children_pct,0.0,0.0,4_Demographics_Vulnerability
cohabiting_household_pct,0.0,0.0,4_Demographics_Vulnerability
cohabiting_dependent_children_pct,0.0,0.0,4_Demographics_Vulnerability
lone_parent_pct,0.0,0.0,4_Demographics_Vulnerability
lone_parent_dependent_children_pct,0.0,0.0,4_Demographics_Vulnerability
other_household_types_pct,0.0,0.0,4_Demographics_Vulnerability
other_households_dependent_children_pct,0.0,0.0,4_Demographics_Vulnerability
