feature,mean_abs_shap,importance_pct,domain
lag_1,0.027906792441488415,22.668664865419192,Model-specific permutation importance
lag_2,0.016359781380629844,13.28903714629997,Model-specific permutation importance
rolling_min_3yr,0.013054431856840586,10.604104409047874,Model-specific permutation importance
spatial_lag_1,0.007275865289518557,5.910179473325225,Model-specific permutation importance
rolling_mean_3yr,0.005997403205138618,4.871685759125786,Model-specific permutation importance
decile_lag_1,0.005725630454166286,4.650924973941968,Model-specific permutation importance
pct_aged_65_plus,0.004528890895836945,3.678814401369454,Model-specific permutation importance
lag_3,0.003924020197604494,3.1874784237972418,Model-specific permutation importance
delta_2,0.00355605490310098,2.888580513523446,Model-specific permutation importance
overcrowded_bedrooms_pct,0.0027867349782904837,2.263662562584313,Model-specific permutation importance
overcrowded_1_bedroom_pct,0.0027855450390253723,2.2626959758844056,Model-specific permutation importance
cohabiting_dependent_children_pct,0.0022311122655474967,1.8123306836808528,Model-specific permutation importance
underoccupied_2plus_bedrooms_pct,0.0017020090387121823,1.3825405616706177,Model-specific permutation importance
overcrowded_2plus_bedrooms_pct,0.001563565614833129,1.2700830807431518,Model-specific permutation importance
pct_disability_limited,0.00152653684289078,1.2400046393278912,Model-specific permutation importance
fuel_poverty_pct,0.0014753323748621483,1.1984112914794482,Model-specific permutation importance
one_person_household_pct,0.0014439970730186213,1.1729576512075683,Model-specific permutation importance
one_person_household_pct,0.0014329967832844015,1.1640221247786398,Model-specific permutation importance
other_households_dependent_children_pct,0.0013850736161681975,1.1250941749999455,Model-specific permutation importance
imd_2019_score,0.0012949487250404456,1.051885799035888,Model-specific permutation importance
rolling_max_3yr,0.0011365314986121699,0.9232036144981557,Model-specific permutation importance
lone_parent_dependent_children_pct,0.0011267190012425488,0.9152329308435894,Model-specific permutation importance
other_household_types_pct,0.0010367512631906605,0.8421522101955913,Model-specific permutation importance
pension_credit_rate,0.0009088694191460855,0.7382738920013252,Model-specific permutation importance
lad_mean_samhi_lag_1,0.0007943517434363167,0.6452512769059356,Model-specific permutation importance
delta_1,0.0007885836687664072,0.6405658745299714,Model-specific permutation importance
occupancy_balanced_pct,0.0007823684639708839,0.6355172687156319,Model-specific permutation importance
spatial_delta_1,0.0007139879081072165,0.5799717986500696,Model-specific permutation importance
cohabiting_household_pct,0.0006809217645433408,0.5531121970526114,Model-specific permutation importance
lone_parent_pct,0.0006770774583741756,0.5499894702694605,Model-specific permutation importance
imd_2025_decile,0.0006681520137145069,0.5427393388117127,Model-specific permutation importance
pensioner_couple_household_pct,0.000658272947155647,0.5347145810587209,Model-specific permutation importance
social_rented_pct,0.0006359438396483452,0.5165766651413608,Model-specific permutation importance
one_person_aged_66_plus_pct,0.0005029123381486089,0.408515284373081,Model-specific permutation importance
rolling_std_3yr,0.00047542224403360753,0.38618510322028915,Model-specific permutation importance
lone_parent_pct,0.0004599094938594339,0.3735841088359786,Model-specific permutation importance
pct_no_qualifications,0.00038917563085861807,0.31612704929164465,Model-specific permutation importance
married_no_children_pct,0.0003857010190878585,0.31330462496846473,Model-specific permutation importance
unemployment_rate,0.00035696481950144856,0.28996223335194615,Model-specific permutation importance
owner_occupied_pct,0.000297272187448383,0.24147395675108455,Model-specific permutation importance
avg_download_speed,0.00025995717026353613,0.2111629985575124,Model-specific permutation importance
hosp_car_time,0.00021662715780387253,0.17596606458088357,Model-specific permutation importance
acceleration,0.00021606623893692943,0.175510430640219,Model-specific permutation importance
gp_pt_time,0.00017582218000685712,0.14282021421270422,Model-specific permutation importance
one_person_other_pct,0.0001615966869088381,0.1312648577072782,Model-specific permutation importance
shared_ownership_pct,8.587040434296923e-05,0.06975245979953207,Model-specific permutation importance
rent_free_pct,7.991397737288075e-05,0.06491405900290227,Model-specific permutation importance
gp_car_time,7.584287753127361e-05,0.061607107903575875,Model-specific permutation importance
married_dependent_children_pct,7.333589840167188e-05,0.05957069078997546,Model-specific permutation importance
qof_mh021_pct,7.007572195104617e-05,0.05692245210341488,Model-specific permutation importance
gas_grid_disconnection_pct,7.001304659025598e-05,0.0568715409586801,Model-specific permutation importance
underoccupied_1_bedroom_pct,4.98195570991955e-05,0.04046838582374337,Model-specific permutation importance
pct_social_grade_de,4.836730354488283e-05,0.039288721439477356,Model-specific permutation importance
qof_mh002_pct,3.852692142162217e-05,0.031295387022146494,Model-specific permutation importance
private_rented_pct,3.5630669937469774e-05,0.028942764290677832,Model-specific permutation importance
hosp_pt_time,1.7271806557528357e-05,0.014029874457764003,Model-specific permutation importance
isolation_scale,0.0,0.0,Model-specific permutation importance
isolation_normalized,0.0,0.0,Model-specific permutation importance
is_rural,0.0,0.0,Model-specific permutation importance
no_car_pct,0.0,0.0,Model-specific permutation importance
qof_mh_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep004_pct,0.0,0.0,Model-specific permutation importance
