feature,mean_abs_shap,importance_pct,domain
rolling_max_3yr,0.2683621692260399,25.129632862253704,1_Temporal_History
lag_1,0.23457352565044753,21.96563918007045,1_Temporal_History
rolling_mean_3yr,0.21372028712373775,20.012926434915116,1_Temporal_History
lag_2,0.04596396319640178,4.304099655144834,1_Temporal_History
spatial_lag_1,0.04497847112615194,4.211817445675954,2_Geography_Accessibility
rolling_min_3yr,0.032769444101904466,3.068555086419012,1_Temporal_History
lad_mean_samhi_lag_1,0.031085867104449456,2.910903685838238,2_Geography_Accessibility
pct_disability_limited,0.013538862369541174,1.2677891287746337,4_Demographics_Vulnerability
other_household_types_pct,0.01243848470829831,1.1647489472296435,4_Demographics_Vulnerability
lag_3,0.011104078301018888,1.0397941400722828,1_Temporal_History
imd_2019_score,0.010921303386002255,1.0226789612672964,3_Deprivation_Economics
gas_grid_disconnection_pct,0.009539180052890138,0.8932559057314505,3_Deprivation_Economics
rolling_std_3yr,0.008624603151720924,0.8076142453701437,1_Temporal_History
spatial_delta_1,0.007807236373166014,0.7310754130968545,2_Geography_Accessibility
underoccupied_2plus_bedrooms_pct,0.007516557864450516,0.7038560616285213,6_Housing
delta_2,0.007402147652339941,0.6931426043840703,1_Temporal_History
one_person_household_pct,0.007165344081960866,0.6709681421591629,4_Demographics_Vulnerability
pension_credit_rate,0.006319905838030696,0.5918006770170152,3_Deprivation_Economics
social_rented_pct,0.006279659329046334,0.5880319640211364,6_Housing
delta_1,0.006219416601225634,0.5823907902404917,1_Temporal_History
other_households_dependent_children_pct,0.0057155055873620965,0.535204188603766,4_Demographics_Vulnerability
no_car_pct,0.005211784880880583,0.4880354074916507,2_Geography_Accessibility
one_person_aged_66_plus_pct,0.00515584496878416,0.4827971525715029,4_Demographics_Vulnerability
hosp_car_time,0.0036991459510252647,0.3463907745314843,2_Geography_Accessibility
pct_no_qualifications,0.0034770205542392074,0.3255907873845835,4_Demographics_Vulnerability
married_dependent_children_pct,0.0034238413771933178,0.3206110497452057,4_Demographics_Vulnerability
hosp_pt_time,0.003405425808024799,0.31888660216942044,2_Geography_Accessibility
qof_mh021_pct,0.003301701846665042,0.30917381338288397,5_Other
qof_mh002_pct,0.0032657750285788266,0.3058095994513178,5_Other
acceleration,0.002916725911090704,0.2731243808205874,1_Temporal_History
overcrowded_bedrooms_pct,0.0029163227230080743,0.27308662598904704,6_Housing
lone_parent_dependent_children_pct,0.0026488885742924797,0.24804389365671303,4_Demographics_Vulnerability
one_person_household_pct,0.0025941688010814668,0.24291989344809828,4_Demographics_Vulnerability
decile_lag_1,0.002501845254312955,0.23427464795196562,1_Temporal_History
one_person_other_pct,0.0024597135508594293,0.23032940394569637,4_Demographics_Vulnerability
lone_parent_pct,0.0023116832700032937,0.2164677384913614,4_Demographics_Vulnerability
cohabiting_dependent_children_pct,0.0022609177928399706,0.21171402150185195,4_Demographics_Vulnerability
overcrowded_2plus_bedrooms_pct,0.002090653612696807,0.1957703572032286,6_Housing
fuel_poverty_pct,0.002022868737989749,0.18942293118593675,3_Deprivation_Economics
gp_pt_time,0.0017975496151293594,0.1683238811571773,2_Geography_Accessibility
avg_download_speed,0.001662622761894328,0.1556892303983381,2_Geography_Accessibility
shared_ownership_pct,0.0015003779698801632,0.14049650756081136,6_Housing
occupancy_balanced_pct,0.0014512578468449517,0.13589686275400592,6_Housing
pct_aged_65_plus,0.0014436542079631653,0.13518485236123143,4_Demographics_Vulnerability
overcrowded_1_bedroom_pct,0.0013535243921195428,0.12674502945838018,6_Housing
underoccupied_1_bedroom_pct,0.0012640155018021379,0.11836335048301937,6_Housing
private_rented_pct,0.0012267899862295915,0.11487752555417753,6_Housing
imd_2025_decile,0.0011890052820580977,0.11133933778957227,3_Deprivation_Economics
cohabiting_household_pct,0.0011793716053514506,0.11043723314699211,4_Demographics_Vulnerability
lone_parent_pct,0.0011492857127988446,0.10761996782095659,4_Demographics_Vulnerability
married_no_children_pct,0.0010166270620121478,0.09519771322417066,4_Demographics_Vulnerability
unemployment_rate,0.0009370430548564816,0.08774540768014913,3_Deprivation_Economics
owner_occupied_pct,0.0008543819251955043,0.0800049580990837,6_Housing
pct_social_grade_de,0.000776420337599223,0.07270457712771511,3_Deprivation_Economics
pensioner_couple_household_pct,0.0005945317951410073,0.05567239890748522,4_Demographics_Vulnerability
rent_free_pct,0.0005696909587684047,0.05334628453810468,6_Housing
gp_car_time,0.00023472988838102983,0.02198028110230638,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
is_rural,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
qof_mh_pca_pct,0.0,0.0,5_Other
