feature,mean_abs_shap,importance_pct,domain
imd_2019_score,0.23930084618071304,12.744026938324863,3_Deprivation_Economics
pct_disability_limited,0.14210873145977648,7.568036347547732,4_Demographics_Vulnerability
lone_parent_dependent_children_pct,0.14168458294452177,7.545448211356294,4_Demographics_Vulnerability
overcrowded_1_bedroom_pct,0.13833973565521246,7.367317525067997,6_Housing
overcrowded_bedrooms_pct,0.10974190075975929,5.844332612552481,6_Housing
one_person_other_pct,0.08441511085410278,4.495548026244593,4_Demographics_Vulnerability
married_dependent_children_pct,0.07209665791780354,3.8395257072088596,4_Demographics_Vulnerability
imd_2025_decile,0.0708158865611511,3.7713179054751063,3_Deprivation_Economics
cohabiting_dependent_children_pct,0.06032368968975128,3.21255331393517,4_Demographics_Vulnerability
lone_parent_pct,0.05258667792645316,2.800516800453111,4_Demographics_Vulnerability
lone_parent_pct,0.05258667792632884,2.80051680044649,4_Demographics_Vulnerability
pct_social_grade_de,0.04904728691434981,2.6120256391245498,3_Deprivation_Economics
other_household_types_pct,0.04866468528882416,2.5916500930278024,4_Demographics_Vulnerability
underoccupied_2plus_bedrooms_pct,0.043660328436727326,2.3251418062833786,6_Housing
gas_grid_disconnection_pct,0.040704215642890756,2.1677132736281677,3_Deprivation_Economics
one_person_household_pct,0.03971513991705052,2.1150397963073546,4_Demographics_Vulnerability
one_person_household_pct,0.03971513991679318,2.11503979629365,4_Demographics_Vulnerability
pct_no_qualifications,0.03919033523855168,2.0870911907470653,4_Demographics_Vulnerability
occupancy_balanced_pct,0.03701762724222465,1.9713830782341846,6_Housing
fuel_poverty_pct,0.035689838657324925,1.9006713621477995,3_Deprivation_Economics
cohabiting_household_pct,0.03346809955681324,1.782352085811147,4_Demographics_Vulnerability
married_no_children_pct,0.032506313810013295,1.7311319432093142,4_Demographics_Vulnerability
hosp_car_time,0.03080437630535713,1.6404948320045158,2_Geography_Accessibility
pct_aged_65_plus,0.030804060158216254,1.6404779955087656,4_Demographics_Vulnerability
unemployment_rate,0.025928780899922472,1.3808437685882593,3_Deprivation_Economics
owner_occupied_pct,0.022728214722782504,1.2103968093302835,6_Housing
other_households_dependent_children_pct,0.022292657542984727,1.1872011018302275,4_Demographics_Vulnerability
underoccupied_1_bedroom_pct,0.021820917854048674,1.1620784856772612,6_Housing
private_rented_pct,0.01959373851262476,1.0434694879382698,6_Housing
pension_credit_rate,0.018887226109205478,1.0058439916429638,3_Deprivation_Economics
pensioner_couple_household_pct,0.01822585043905443,0.9706222634657363,4_Demographics_Vulnerability
overcrowded_2plus_bedrooms_pct,0.01481315393049664,0.7888782498881823,6_Housing
social_rented_pct,0.013229052486710493,0.7045165278347437,6_Housing
avg_download_speed,0.009193401083850855,0.4895968941912715,2_Geography_Accessibility
gp_pt_time,0.008216008859162661,0.4375456246720268,2_Geography_Accessibility
rent_free_pct,0.0055203977767787574,0.2939901763841207,6_Housing
shared_ownership_pct,0.005313955439305337,0.28299603761711767,6_Housing
hosp_pt_time,0.002434057642106329,0.12962635383668214,2_Geography_Accessibility
gp_car_time,0.0022270738264373634,0.11860337851176178,2_Geography_Accessibility
one_person_aged_66_plus_pct,0.0011741886905988102,0.06253171496254276,4_Demographics_Vulnerability
qof_mh021_pct,0.0010162590111320528,0.05412113003729988,5_Healthcare_Service
qof_mh002_pct,0.000146181311983548,0.007784922650842487,5_Healthcare_Service
is_rural,6.518199778594722e-18,3.4712837373363767e-16,2_Geography_Accessibility
no_car_pct,5.711114879886271e-20,3.0414686382753235e-18,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
qof_dep_pca_pct,0.0,0.0,5_Healthcare_Service
qof_dep004_pct,0.0,0.0,5_Healthcare_Service
qof_mh_pca_pct,0.0,0.0,5_Healthcare_Service
