feature,mean_abs_shap,importance_pct,domain
pct_disability_limited,0.09876721170813359,43.035874347189115,Model-specific permutation importance
overcrowded_1_bedroom_pct,0.020643636499059557,8.995059504847923,Model-specific permutation importance
pct_social_grade_de,0.01817846171346831,7.920907967290372,Model-specific permutation importance
overcrowded_2plus_bedrooms_pct,0.015206714692278045,6.626027518771588,Model-specific permutation importance
imd_2019_score,0.01326843656606127,5.781460860999868,Model-specific permutation importance
overcrowded_bedrooms_pct,0.009507393120252205,4.14265998418187,Model-specific permutation importance
imd_2025_decile,0.008582752119257553,3.7397658126560374,Model-specific permutation importance
cohabiting_household_pct,0.0071588810202885544,3.119341922560762,Model-specific permutation importance
lone_parent_pct,0.00652527038332038,2.843258521136165,Model-specific permutation importance
cohabiting_dependent_children_pct,0.004323841810557694,1.8840292202048636,Model-specific permutation importance
gas_grid_disconnection_pct,0.0031794590154479276,1.3853868739881259,Model-specific permutation importance
social_rented_pct,0.0027607306984163806,1.2029342267408651,Model-specific permutation importance
married_no_children_pct,0.0025083977796641287,1.0929851090400249,Model-specific permutation importance
one_person_household_pct,0.002439383002051587,1.0629132740042286,Model-specific permutation importance
underoccupied_1_bedroom_pct,0.0024368280267392127,1.0617999936493225,Model-specific permutation importance
one_person_other_pct,0.002059606970881633,0.8974333209424541,Model-specific permutation importance
shared_ownership_pct,0.0018501103399533592,0.806149275064644,Model-specific permutation importance
unemployment_rate,0.0015402129133394893,0.6711175526780386,Model-specific permutation importance
pct_no_qualifications,0.001257298024027742,0.5478429414300368,Model-specific permutation importance
pct_aged_65_plus,0.0009784391847153739,0.42633567437552106,Model-specific permutation importance
other_household_types_pct,0.0008657999298087415,0.3772553294220992,Model-specific permutation importance
hosp_car_time,0.000839833585467098,0.3659410044248007,Model-specific permutation importance
occupancy_balanced_pct,0.0007984883206874516,0.3479256166343039,Model-specific permutation importance
fuel_poverty_pct,0.0005751537842859866,0.2506119749941636,Model-specific permutation importance
lone_parent_pct,0.00046603407341264667,0.2030652022876102,Model-specific permutation importance
hosp_pt_time,0.00040441954294193614,0.1762178797253981,Model-specific permutation importance
owner_occupied_pct,0.00032471451829002573,0.14148797932185408,Model-specific permutation importance
other_households_dependent_children_pct,0.00031867587630360903,0.13885675957533483,Model-specific permutation importance
avg_download_speed,0.0003032220419962206,0.13212305453362128,Model-specific permutation importance
one_person_household_pct,0.0002616462348457027,0.11400721242905663,Model-specific permutation importance
private_rented_pct,0.00023787200580893675,0.10364805865896698,Model-specific permutation importance
rent_free_pct,0.00020271222943476496,0.08832787606045878,Model-specific permutation importance
one_person_aged_66_plus_pct,0.00017377503162290252,0.07571905996194261,Model-specific permutation importance
married_dependent_children_pct,0.0001393309988685587,0.06071074860040668,Model-specific permutation importance
underoccupied_2plus_bedrooms_pct,0.0001351285734292551,0.05887962418136623,Model-specific permutation importance
lone_parent_dependent_children_pct,0.00011749482567771085,0.05119606463381051,Model-specific permutation importance
gp_pt_time,9.481138264813004e-05,0.041312199461353984,Model-specific permutation importance
pension_credit_rate,3.435127619741962e-05,0.014967894512060993,Model-specific permutation importance
gp_car_time,2.23462521062312e-05,0.009736940844460225,Model-specific permutation importance
qof_mh021_pct,9.32539545920319e-06,0.004063358074803956,Model-specific permutation importance
pensioner_couple_household_pct,1.5114597637810867e-06,0.0006585889319943037,Model-specific permutation importance
qof_mh002_pct,8.424884956337308e-09,3.6709782943138205e-06,Model-specific permutation importance
isolation_scale,0.0,0.0,Model-specific permutation importance
isolation_normalized,0.0,0.0,Model-specific permutation importance
is_rural,0.0,0.0,Model-specific permutation importance
no_car_pct,0.0,0.0,Model-specific permutation importance
qof_mh_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep004_pct,0.0,0.0,Model-specific permutation importance
