feature,mean_abs_shap,importance_pct,domain
lag_1,0.16520580684068736,49.961461204875754,Model-specific permutation importance
one_person_other_pct,0.03735142878051673,11.295801253306006,Model-specific permutation importance
rolling_mean_3yr,0.033173810810051975,10.032408021847496,Model-specific permutation importance
lag_2,0.02087204369809583,6.312113486994352,Model-specific permutation importance
imd_2019_score,0.008196698969762028,2.478841787811499,Model-specific permutation importance
one_person_aged_66_plus_pct,0.006875325550813638,2.0792326695218084,Model-specific permutation importance
one_person_household_pct,0.006142042845776135,1.8574736640694967,Model-specific permutation importance
one_person_household_pct,0.0060742141365960735,1.836960938233265,Model-specific permutation importance
lag_3,0.005859496178968221,1.7720260360336162,Model-specific permutation importance
owner_occupied_pct,0.004744736715628572,1.434901011523308,Model-specific permutation importance
pct_disability_limited,0.004712388131835205,1.4251181682617298,Model-specific permutation importance
imd_2025_decile,0.0035994928184991115,1.088556899105206,Model-specific permutation importance
private_rented_pct,0.002833219077454713,0.8568207602997266,Model-specific permutation importance
occupancy_balanced_pct,0.0026621328738354435,0.8050809523094637,Model-specific permutation importance
spatial_lag_1,0.002452461756938745,0.7416723132734332,Model-specific permutation importance
pensioner_couple_household_pct,0.0017576500525412543,0.5315476894614847,Model-specific permutation importance
rolling_min_3yr,0.001471547694312153,0.4450247509241553,Model-specific permutation importance
delta_1,0.0014481418248684763,0.43794635906530055,Model-specific permutation importance
lone_parent_dependent_children_pct,0.00141364278976015,0.4275131773440768,Model-specific permutation importance
lad_mean_samhi_lag_1,0.0012731453307588347,0.3850240028924372,Model-specific permutation importance
lone_parent_pct,0.0012008538614667274,0.3631616512744699,Model-specific permutation importance
lone_parent_pct,0.0011989391897789913,0.3625826171770841,Model-specific permutation importance
overcrowded_1_bedroom_pct,0.0011032195579752158,0.333635131841287,Model-specific permutation importance
overcrowded_bedrooms_pct,0.0009786529214268701,0.29596374910754597,Model-specific permutation importance
social_rented_pct,0.0008878765710031821,0.26851120856587585,Model-specific permutation importance
pct_social_grade_de,0.0008872417008300937,0.2683192114313352,Model-specific permutation importance
pct_aged_65_plus,0.0006689921434283985,0.20231628451472136,Model-specific permutation importance
underoccupied_1_bedroom_pct,0.0005649346147682755,0.17084725639368567,Model-specific permutation importance
other_households_dependent_children_pct,0.00047194107800878625,0.14272419541923842,Model-specific permutation importance
cohabiting_dependent_children_pct,0.0004271888136349822,0.12919023700034166,Model-specific permutation importance
rolling_max_3yr,0.00035437925211607155,0.10717120417857783,Model-specific permutation importance
acceleration,0.0003506104283972411,0.10603143830946438,Model-specific permutation importance
rolling_std_3yr,0.00033722249058130147,0.10198266454905183,Model-specific permutation importance
fuel_poverty_pct,0.0003236356263069784,0.09787373154409938,Model-specific permutation importance
married_no_children_pct,0.0002667207383833858,0.08066155831996724,Model-specific permutation importance
pension_credit_rate,0.00023980068003586763,0.0725204071311382,Model-specific permutation importance
other_household_types_pct,0.00022072377643925223,0.06675117905630082,Model-specific permutation importance
pct_no_qualifications,0.00021616829457528076,0.06537351240663031,Model-specific permutation importance
shared_ownership_pct,0.0002118501277583673,0.06406761446015286,Model-specific permutation importance
underoccupied_2plus_bedrooms_pct,0.00020511010964974763,0.062029301402678476,Model-specific permutation importance
gas_grid_disconnection_pct,0.00020373309062418632,0.06161286396661244,Model-specific permutation importance
spatial_delta_1,0.00019771210408024985,0.05979200009153057,Model-specific permutation importance
decile_lag_1,0.00015991516848515297,0.048361468880126796,Model-specific permutation importance
delta_2,0.00013167077960721252,0.03981981428476841,Model-specific permutation importance
avg_download_speed,0.00012360031878829169,0.03737914937824481,Model-specific permutation importance
hosp_car_time,0.00011710578613940425,0.03541507591626238,Model-specific permutation importance
hosp_pt_time,0.00010330202688708102,0.031240549635648974,Model-specific permutation importance
unemployment_rate,7.906669928079424e-05,0.023911313435394883,Model-specific permutation importance
overcrowded_2plus_bedrooms_pct,7.569679794637296e-05,0.02289218948325495,Model-specific permutation importance
rent_free_pct,5.9188839389801017e-05,0.017899860540536806,Model-specific permutation importance
married_dependent_children_pct,5.8998105771262964e-05,0.017842178970710127,Model-specific permutation importance
cohabiting_household_pct,3.9060332024443145e-05,0.011812606956186958,Model-specific permutation importance
qof_mh002_pct,3.362953320578677e-05,0.01017022737111924,Model-specific permutation importance
gp_pt_time,2.5679943814876926e-05,0.007766116344128286,Model-specific permutation importance
gp_car_time,1.9010507614525272e-05,0.005749148633643438,Model-specific permutation importance
qof_mh021_pct,3.6245506435494955e-06,0.0010961348745896912,Model-specific permutation importance
isolation_scale,0.0,0.0,Model-specific permutation importance
isolation_normalized,0.0,0.0,Model-specific permutation importance
is_rural,0.0,0.0,Model-specific permutation importance
no_car_pct,0.0,0.0,Model-specific permutation importance
qof_mh_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep004_pct,0.0,0.0,Model-specific permutation importance
