feature,mean_abs_shap,importance_pct,domain
pct_disability_limited,0.0906026206080311,32.556826295253956,Model-specific permutation importance
imd_2019_score,0.08396768523164191,30.17265200669932,Model-specific permutation importance
overcrowded_1_bedroom_pct,0.017033681719696315,6.120823141705447,Model-specific permutation importance
overcrowded_2plus_bedrooms_pct,0.0120203550029238,4.31935199237259,Model-specific permutation importance
imd_2025_decile,0.010267604115585116,3.6895246673461926,Model-specific permutation importance
pct_social_grade_de,0.009938552714335636,3.571284496799297,Model-specific permutation importance
lone_parent_pct,0.00925996013507634,3.327441431555388,Model-specific permutation importance
one_person_other_pct,0.0073866180709898695,2.654281298186691,Model-specific permutation importance
underoccupied_1_bedroom_pct,0.004839161797760882,1.7388873413046144,Model-specific permutation importance
hosp_car_time,0.003954959854371354,1.4211613319720862,Model-specific permutation importance
lone_parent_dependent_children_pct,0.003391228654588596,1.2185921499178143,Model-specific permutation importance
gas_grid_disconnection_pct,0.003055829295030665,1.0980709264103006,Model-specific permutation importance
overcrowded_bedrooms_pct,0.002314715254746558,0.8317616197635482,Model-specific permutation importance
unemployment_rate,0.0021964835863810483,0.7892766688455528,Model-specific permutation importance
owner_occupied_pct,0.0020537565314297955,0.7379896320634268,Model-specific permutation importance
other_household_types_pct,0.0019641021488286613,0.7057735422708249,Model-specific permutation importance
cohabiting_dependent_children_pct,0.0016152111664501922,0.5804042865798977,Model-specific permutation importance
other_households_dependent_children_pct,0.0015497693091769626,0.5568886402841824,Model-specific permutation importance
cohabiting_household_pct,0.0013690242573227373,0.49194035051668894,Model-specific permutation importance
lone_parent_pct,0.0012149628636698774,0.4365804724215481,Model-specific permutation importance
underoccupied_2plus_bedrooms_pct,0.0011629397162502663,0.41788665802074776,Model-specific permutation importance
pension_credit_rate,0.0011184420213419366,0.40189701319648663,Model-specific permutation importance
fuel_poverty_pct,0.0009349875073633718,0.335975114860679,Model-specific permutation importance
pct_no_qualifications,0.0009003773196086251,0.32353841200136313,Model-specific permutation importance
occupancy_balanced_pct,0.0007028189715356347,0.2525484916411618,Model-specific permutation importance
avg_download_speed,0.0006369759572823041,0.22888869501038306,Model-specific permutation importance
one_person_household_pct,0.00039721753104001725,0.1427347473253237,Model-specific permutation importance
shared_ownership_pct,0.00035748878599372035,0.12845876013289512,Model-specific permutation importance
hosp_pt_time,0.00035491552437239005,0.12753409337319582,Model-specific permutation importance
gp_pt_time,0.00035274728285243916,0.12675496510894183,Model-specific permutation importance
married_no_children_pct,0.00034672593692157693,0.12459127588870596,Model-specific permutation importance
pct_aged_65_plus,0.00022397818244760393,0.0804835305086856,Model-specific permutation importance
one_person_aged_66_plus_pct,0.00019529935177091672,0.0701781805924698,Model-specific permutation importance
social_rented_pct,0.00018294336529711686,0.06573822397052688,Model-specific permutation importance
one_person_household_pct,0.0001250166161394284,0.04492303013265193,Model-specific permutation importance
pensioner_couple_household_pct,8.765576436554623e-05,0.031497913361391634,Model-specific permutation importance
married_dependent_children_pct,6.035739373119187e-05,0.02168861309036441,Model-specific permutation importance
rent_free_pct,5.938372587138696e-05,0.021338738714014083,Model-specific permutation importance
gp_car_time,4.1284043315426014e-05,0.014834862589691192,Model-specific permutation importance
private_rented_pct,3.5461614589826776e-05,0.012742651576767926,Model-specific permutation importance
qof_mh002_pct,9.043354452353825e-06,0.003249607109108244,Model-specific permutation importance
qof_mh021_pct,8.360213159330776e-06,0.003004129525095678,Model-specific permutation importance
isolation_scale,0.0,0.0,Model-specific permutation importance
isolation_normalized,0.0,0.0,Model-specific permutation importance
is_rural,0.0,0.0,Model-specific permutation importance
no_car_pct,0.0,0.0,Model-specific permutation importance
qof_mh_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep004_pct,0.0,0.0,Model-specific permutation importance
