feature,mean_abs_shap,importance_pct,domain
lag_1,0.21984872,39.545273,1_Temporal_History
rolling_mean_3yr,0.124124646,22.326914,1_Temporal_History
spatial_lag_1,0.036440488,6.5547304,2_Geography_Accessibility
rolling_max_3yr,0.028254956,5.0823584,1_Temporal_History
pct_disability_limited,0.027120175,4.8782396,4_Demographics_Vulnerability
gas_grid_disconnection_pct,0.013046256,2.3466945,3_Deprivation_Economics
lag_2,0.010990786,1.9769671,1_Temporal_History
pct_social_grade_de,0.008033861,1.4450903,3_Deprivation_Economics
imd_2019_score,0.007927641,1.4259839,3_Deprivation_Economics
cohabiting_dependent_children_pct,0.007814448,1.4056233,4_Demographics_Vulnerability
lad_mean_samhi_lag_1,0.0076183453,1.3703493,2_Geography_Accessibility
overcrowded_bedrooms_pct,0.006288257,1.1310998,6_Housing
cohabiting_household_pct,0.0061077313,1.0986278,4_Demographics_Vulnerability
other_household_types_pct,0.0046619647,0.8385706,4_Demographics_Vulnerability
decile_lag_1,0.004189119,0.75351757,1_Temporal_History
fuel_poverty_pct,0.0034318347,0.61730105,3_Deprivation_Economics
married_dependent_children_pct,0.003411802,0.61369765,4_Demographics_Vulnerability
pct_aged_65_plus,0.0029653322,0.5333889,4_Demographics_Vulnerability
overcrowded_2plus_bedrooms_pct,0.0029366796,0.5282351,6_Housing
rolling_min_3yr,0.0025277606,0.45468077,1_Temporal_History
social_rented_pct,0.002477219,0.4455896,6_Housing
pension_credit_rate,0.0023858643,0.42915717,3_Deprivation_Economics
private_rented_pct,0.0021703183,0.39038587,6_Housing
overcrowded_1_bedroom_pct,0.0019766837,0.35555586,6_Housing
shared_ownership_pct,0.0016921556,0.3043764,6_Housing
delta_1,0.0014786639,0.26597458,1_Temporal_History
occupancy_balanced_pct,0.0013635722,0.24527246,6_Housing
other_households_dependent_children_pct,0.0012136239,0.21830052,4_Demographics_Vulnerability
pct_no_qualifications,0.0011313278,0.20349753,4_Demographics_Vulnerability
acceleration,0.0011295557,0.20317878,1_Temporal_History
underoccupied_2plus_bedrooms_pct,0.0010226255,0.1839447,6_Housing
rolling_std_3yr,0.0007940737,0.14283395,1_Temporal_History
one_person_household_pct,0.0007372948,0.13262086,4_Demographics_Vulnerability
one_person_other_pct,0.0007219839,0.12986681,4_Demographics_Vulnerability
is_rural,0.00063975086,0.11507515,2_Geography_Accessibility
owner_occupied_pct,0.00061061024,0.10983348,6_Housing
spatial_delta_1,0.0006051011,0.10884253,2_Geography_Accessibility
lag_3,0.000575155,0.10345597,1_Temporal_History
imd_2025_decile,0.00057480205,0.10339249,3_Deprivation_Economics
lone_parent_dependent_children_pct,0.00053884083,0.09692396,4_Demographics_Vulnerability
one_person_household_pct,0.00046962604,0.08447395,4_Demographics_Vulnerability
hosp_car_time,0.00039575886,0.0711871,2_Geography_Accessibility
unemployment_rate,0.00039432436,0.070929065,3_Deprivation_Economics
underoccupied_1_bedroom_pct,0.00036734086,0.066075414,6_Housing
avg_download_speed,0.0003526822,0.06343869,2_Geography_Accessibility
gp_pt_time,0.0003322116,0.059756543,2_Geography_Accessibility
delta_2,0.0003024663,0.054406106,1_Temporal_History
pensioner_couple_household_pct,0.00027091918,0.04873157,4_Demographics_Vulnerability
one_person_aged_66_plus_pct,0.00025758444,0.046332985,4_Demographics_Vulnerability
lone_parent_pct,0.0002229994,0.040112004,4_Demographics_Vulnerability
hosp_pt_time,0.00021330871,0.038368892,2_Geography_Accessibility
no_car_pct,0.00020563281,0.036988188,2_Geography_Accessibility
married_no_children_pct,0.00015768128,0.028362911,4_Demographics_Vulnerability
rent_free_pct,0.00015627965,0.028110793,6_Housing
gp_car_time,0.00013502428,0.024287485,2_Geography_Accessibility
lone_parent_pct,9.4264244e-05,0.016955774,4_Demographics_Vulnerability
qof_mh021_pct,1.7969154e-05,0.0032322004,5_Other
qof_mh002_pct,1.5679158e-05,0.0028202874,5_Other
isolation_normalized,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
qof_mh_pca_pct,0.0,0.0,5_Other
