feature,mean_abs_shap,importance_pct,domain
imd_2019_score,0.18209775,17.675001,3_Deprivation_Economics
gas_grid_disconnection_pct,0.16856827,16.361786,3_Deprivation_Economics
no_car_pct,0.11445593,11.109467,2_Geography_Accessibility
pct_disability_limited,0.11035384,10.711304,4_Demographics_Vulnerability
avg_download_speed,0.04565647,4.4315658,2_Geography_Accessibility
one_person_household_pct,0.038634397,3.7499807,4_Demographics_Vulnerability
qof_mh002_pct,0.035237826,3.4202986,5_Other
imd_2025_decile,0.024994807,2.4260776,3_Deprivation_Economics
qof_mh021_pct,0.024490383,2.3771164,5_Other
pension_credit_rate,0.020087767,1.9497842,3_Deprivation_Economics
married_no_children_pct,0.017143823,1.6640354,4_Demographics_Vulnerability
hosp_pt_time,0.017024329,1.6524369,2_Geography_Accessibility
one_person_other_pct,0.015359169,1.4908111,4_Demographics_Vulnerability
hosp_car_time,0.014788122,1.4353833,2_Geography_Accessibility
one_person_household_pct,0.012191814,1.1833773,4_Demographics_Vulnerability
pct_social_grade_de,0.011983797,1.1631864,3_Deprivation_Economics
is_rural,0.010707076,1.0392637,2_Geography_Accessibility
lone_parent_pct,0.009559659,0.9278917,4_Demographics_Vulnerability
fuel_poverty_pct,0.00947606,0.91977733,3_Deprivation_Economics
private_rented_pct,0.009361893,0.90869594,6_Housing
underoccupied_1_bedroom_pct,0.008942744,0.8680119,6_Housing
other_household_types_pct,0.008820759,0.85617167,4_Demographics_Vulnerability
other_households_dependent_children_pct,0.007935675,0.7702625,4_Demographics_Vulnerability
pct_aged_65_plus,0.0074921288,0.72721046,4_Demographics_Vulnerability
overcrowded_2plus_bedrooms_pct,0.0073970314,0.71797997,6_Housing
cohabiting_dependent_children_pct,0.0073047825,0.70902604,4_Demographics_Vulnerability
gp_pt_time,0.007121391,0.69122547,2_Geography_Accessibility
unemployment_rate,0.006987089,0.67818964,3_Deprivation_Economics
one_person_aged_66_plus_pct,0.006588501,0.6395014,4_Demographics_Vulnerability
overcrowded_bedrooms_pct,0.0065449304,0.6352723,6_Housing
social_rented_pct,0.0063985065,0.6210599,6_Housing
shared_ownership_pct,0.006282122,0.60976326,6_Housing
married_dependent_children_pct,0.0061983094,0.6016281,4_Demographics_Vulnerability
underoccupied_2plus_bedrooms_pct,0.005312763,0.5156741,6_Housing
lone_parent_dependent_children_pct,0.0052323127,0.5078653,4_Demographics_Vulnerability
cohabiting_household_pct,0.0048729065,0.47298017,4_Demographics_Vulnerability
pct_no_qualifications,0.0048413267,0.46991497,4_Demographics_Vulnerability
gp_car_time,0.0047594234,0.46196514,2_Geography_Accessibility
pensioner_couple_household_pct,0.0039789937,0.3862141,4_Demographics_Vulnerability
owner_occupied_pct,0.0038607332,0.37473536,6_Housing
overcrowded_1_bedroom_pct,0.0038298096,0.3717338,6_Housing
rent_free_pct,0.00259488,0.25186753,6_Housing
lone_parent_pct,0.0025343355,0.24599086,4_Demographics_Vulnerability
occupancy_balanced_pct,0.002251206,0.21850939,6_Housing
isolation_normalized,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
qof_mh_pca_pct,0.0,0.0,5_Other
