feature,mean_abs_shap,importance_pct,domain
pct_disability_limited,0.2837398,21.90466,4_Demographics_Vulnerability
imd_2019_score,0.17530857,13.533789,3_Deprivation_Economics
gas_grid_disconnection_pct,0.16938016,13.076117,3_Deprivation_Economics
overcrowded_bedrooms_pct,0.15093422,11.652093,6_Housing
cohabiting_household_pct,0.07038431,5.4336557,4_Demographics_Vulnerability
overcrowded_2plus_bedrooms_pct,0.047731936,3.6848967,6_Housing
pct_social_grade_de,0.04674214,3.6084845,3_Deprivation_Economics
cohabiting_dependent_children_pct,0.044137347,3.407395,4_Demographics_Vulnerability
overcrowded_1_bedroom_pct,0.042256374,3.2621841,6_Housing
other_household_types_pct,0.041295208,3.1879823,4_Demographics_Vulnerability
one_person_other_pct,0.029961968,2.3130584,4_Demographics_Vulnerability
hosp_car_time,0.018939944,1.4621601,2_Geography_Accessibility
other_households_dependent_children_pct,0.014759708,1.1394467,4_Demographics_Vulnerability
married_no_children_pct,0.0132402275,1.0221431,4_Demographics_Vulnerability
underoccupied_1_bedroom_pct,0.011914942,0.91983134,6_Housing
fuel_poverty_pct,0.011838218,0.91390824,3_Deprivation_Economics
married_dependent_children_pct,0.011744097,0.9066421,4_Demographics_Vulnerability
pct_no_qualifications,0.0108586615,0.83828664,4_Demographics_Vulnerability
imd_2025_decile,0.010086461,0.7786729,3_Deprivation_Economics
one_person_household_pct,0.009957549,0.7687209,4_Demographics_Vulnerability
lone_parent_pct,0.009394524,0.7252554,4_Demographics_Vulnerability
shared_ownership_pct,0.008492896,0.65565,6_Housing
pension_credit_rate,0.007961797,0.6146492,3_Deprivation_Economics
unemployment_rate,0.0062845657,0.48516726,3_Deprivation_Economics
is_rural,0.005923913,0.45732498,2_Geography_Accessibility
avg_download_speed,0.005763812,0.4449652,2_Geography_Accessibility
hosp_pt_time,0.0054599834,0.4215097,2_Geography_Accessibility
social_rented_pct,0.0048466036,0.3741569,6_Housing
pensioner_couple_household_pct,0.0042706085,0.32969016,4_Demographics_Vulnerability
one_person_aged_66_plus_pct,0.0027135676,0.2094869,4_Demographics_Vulnerability
gp_pt_time,0.002592858,0.20016813,2_Geography_Accessibility
one_person_household_pct,0.0024799316,0.19145025,4_Demographics_Vulnerability
private_rented_pct,0.0021049108,0.16249873,6_Housing
rent_free_pct,0.0018364328,0.14177227,6_Housing
lone_parent_dependent_children_pct,0.001833405,0.14153852,4_Demographics_Vulnerability
owner_occupied_pct,0.0017598633,0.13586111,6_Housing
occupancy_balanced_pct,0.0016643711,0.12848914,6_Housing
pct_aged_65_plus,0.0014221816,0.10979215,4_Demographics_Vulnerability
lone_parent_pct,0.0012471988,0.09628351,4_Demographics_Vulnerability
underoccupied_2plus_bedrooms_pct,0.0011130103,0.085924186,6_Housing
gp_car_time,0.00052994676,0.04091179,2_Geography_Accessibility
qof_mh021_pct,0.00035925725,0.02773459,5_Other
qof_mh002_pct,4.9331324e-05,0.003808369,5_Other
no_car_pct,2.3155344e-05,0.0017875882,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
qof_mh_pca_pct,0.0,0.0,5_Other
