feature,mean_abs_shap,importance_pct,domain
lag_1,0.26006648,42.340023,1_Temporal_History
rolling_mean_3yr,0.08803473,14.332459,1_Temporal_History
spatial_lag_1,0.059382737,9.667784,2_Geography_Accessibility
rolling_max_3yr,0.027891936,4.540936,1_Temporal_History
pct_disability_limited,0.025766496,4.1949043,4_Demographics_Vulnerability
lad_mean_samhi_lag_1,0.022074727,3.5938675,2_Geography_Accessibility
gas_grid_disconnection_pct,0.018225001,2.9671144,3_Deprivation_Economics
imd_2019_score,0.014418921,2.347467,3_Deprivation_Economics
lag_2,0.013794238,2.2457654,1_Temporal_History
other_household_types_pct,0.0094317915,1.5355393,4_Demographics_Vulnerability
overcrowded_bedrooms_pct,0.008797982,1.4323521,6_Housing
overcrowded_1_bedroom_pct,0.007603465,1.2378793,6_Housing
pct_social_grade_de,0.007436297,1.2106634,3_Deprivation_Economics
cohabiting_dependent_children_pct,0.006090584,0.99157524,4_Demographics_Vulnerability
cohabiting_household_pct,0.004366886,0.7109492,4_Demographics_Vulnerability
pct_aged_65_plus,0.0037469107,0.6100144,4_Demographics_Vulnerability
social_rented_pct,0.002382544,0.38788918,6_Housing
married_dependent_children_pct,0.0023759347,0.38681313,4_Demographics_Vulnerability
shared_ownership_pct,0.0022670366,0.36908403,6_Housing
underoccupied_2plus_bedrooms_pct,0.0019310251,0.31437978,6_Housing
acceleration,0.0019127495,0.31140444,1_Temporal_History
delta_1,0.0018480839,0.3008766,1_Temporal_History
private_rented_pct,0.0015978423,0.26013613,6_Housing
fuel_poverty_pct,0.0015846087,0.25798163,3_Deprivation_Economics
rolling_std_3yr,0.0014836625,0.24154711,1_Temporal_History
one_person_household_pct,0.001441998,0.23476394,4_Demographics_Vulnerability
pct_no_qualifications,0.0014359363,0.23377705,4_Demographics_Vulnerability
rolling_min_3yr,0.0014316177,0.23307395,1_Temporal_History
decile_lag_1,0.001401659,0.22819655,1_Temporal_History
overcrowded_2plus_bedrooms_pct,0.0013669014,0.22253788,6_Housing
occupancy_balanced_pct,0.0011658325,0.18980291,6_Housing
spatial_delta_1,0.0010449218,0.1701181,2_Geography_Accessibility
lag_3,0.0009430639,0.15353516,1_Temporal_History
gp_pt_time,0.0008634684,0.14057663,2_Geography_Accessibility
pensioner_couple_household_pct,0.0007654222,0.12461427,4_Demographics_Vulnerability
married_no_children_pct,0.0007033906,0.11451524,4_Demographics_Vulnerability
is_rural,0.00060286897,0.09814985,2_Geography_Accessibility
avg_download_speed,0.0005671459,0.092333965,2_Geography_Accessibility
lone_parent_pct,0.00055486825,0.09033511,4_Demographics_Vulnerability
unemployment_rate,0.00054191664,0.088226534,3_Deprivation_Economics
pension_credit_rate,0.00048701363,0.079288065,3_Deprivation_Economics
delta_2,0.00042240106,0.068768844,1_Temporal_History
one_person_other_pct,0.0004218374,0.068677075,4_Demographics_Vulnerability
one_person_aged_66_plus_pct,0.00039665346,0.06457701,4_Demographics_Vulnerability
other_households_dependent_children_pct,0.0003874627,0.06308072,4_Demographics_Vulnerability
hosp_car_time,0.00038138352,0.062090997,2_Geography_Accessibility
gp_car_time,0.00032244105,0.052494895,2_Geography_Accessibility
lone_parent_pct,0.0002979974,0.048515353,4_Demographics_Vulnerability
underoccupied_1_bedroom_pct,0.00029227464,0.04758366,6_Housing
imd_2025_decile,0.00026973148,0.04391353,3_Deprivation_Economics
owner_occupied_pct,0.00025464495,0.041457374,6_Housing
lone_parent_dependent_children_pct,0.00024460742,0.039823215,4_Demographics_Vulnerability
no_car_pct,0.00021455456,0.03493047,2_Geography_Accessibility
one_person_household_pct,0.0001920443,0.0312657,4_Demographics_Vulnerability
hosp_pt_time,0.0001665919,0.02712193,2_Geography_Accessibility
rent_free_pct,6.646314e-05,0.010820506,6_Housing
qof_mh021_pct,4.1514537e-05,0.0067587583,5_Other
qof_mh002_pct,2.9818917e-05,0.0048546577,5_Other
isolation_normalized,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
qof_mh_pca_pct,0.0,0.0,5_Other
