feature,mean_abs_shap,importance_pct,domain
imd_2019_score,0.15358835,15.193023,3_Deprivation_Economics
gas_grid_disconnection_pct,0.14475904,14.319624,3_Deprivation_Economics
no_car_pct,0.13436344,13.291287,2_Geography_Accessibility
pct_disability_limited,0.08888691,8.792729,4_Demographics_Vulnerability
qof_mh002_pct,0.0447539,4.4270744,5_Other
one_person_household_pct,0.041048307,4.0605154,4_Demographics_Vulnerability
avg_download_speed,0.04008135,3.9648633,2_Geography_Accessibility
qof_mh021_pct,0.030742915,3.0411017,5_Other
pension_credit_rate,0.022878695,2.26317,3_Deprivation_Economics
hosp_pt_time,0.019727008,1.9514037,2_Geography_Accessibility
married_no_children_pct,0.018313952,1.8116236,4_Demographics_Vulnerability
is_rural,0.016881866,1.6699612,2_Geography_Accessibility
imd_2025_decile,0.016758524,1.6577599,3_Deprivation_Economics
lone_parent_pct,0.0154868895,1.5319694,4_Demographics_Vulnerability
hosp_car_time,0.014873046,1.4712478,2_Geography_Accessibility
fuel_poverty_pct,0.014718694,1.4559792,3_Deprivation_Economics
one_person_other_pct,0.012007026,1.1877398,4_Demographics_Vulnerability
unemployment_rate,0.01187512,1.1746917,3_Deprivation_Economics
one_person_household_pct,0.011769125,1.1642066,4_Demographics_Vulnerability
pct_social_grade_de,0.010866084,1.0748775,3_Deprivation_Economics
social_rented_pct,0.010313547,1.0202203,6_Housing
underoccupied_1_bedroom_pct,0.009090958,0.89928126,6_Housing
other_household_types_pct,0.009056481,0.89587075,4_Demographics_Vulnerability
underoccupied_2plus_bedrooms_pct,0.008268162,0.8178899,6_Housing
occupancy_balanced_pct,0.008230019,0.81411684,6_Housing
gp_pt_time,0.007656727,0.75740653,2_Geography_Accessibility
one_person_aged_66_plus_pct,0.0074436665,0.73633057,4_Demographics_Vulnerability
pct_aged_65_plus,0.007004741,0.69291186,4_Demographics_Vulnerability
other_households_dependent_children_pct,0.006751667,0.6678776,4_Demographics_Vulnerability
private_rented_pct,0.006703745,0.6631372,6_Housing
overcrowded_bedrooms_pct,0.00609232,0.6026548,6_Housing
pct_no_qualifications,0.0058507062,0.57875425,4_Demographics_Vulnerability
cohabiting_household_pct,0.005795175,0.5732611,4_Demographics_Vulnerability
married_dependent_children_pct,0.0057679056,0.5705636,4_Demographics_Vulnerability
gp_car_time,0.005590718,0.5530361,2_Geography_Accessibility
shared_ownership_pct,0.005539124,0.5479324,6_Housing
overcrowded_2plus_bedrooms_pct,0.00549823,0.54388714,6_Housing
lone_parent_dependent_children_pct,0.005169348,0.511354,4_Demographics_Vulnerability
cohabiting_dependent_children_pct,0.0049781897,0.49244455,4_Demographics_Vulnerability
owner_occupied_pct,0.0049143564,0.48613012,6_Housing
overcrowded_1_bedroom_pct,0.0041654184,0.4120449,6_Housing
lone_parent_pct,0.0024183162,0.23922083,4_Demographics_Vulnerability
rent_free_pct,0.0022708208,0.2246305,6_Housing
pensioner_couple_household_pct,0.0019631984,0.1942004,4_Demographics_Vulnerability
isolation_normalized,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
qof_mh_pca_pct,0.0,0.0,5_Other
