feature,mean_abs_shap,importance_pct,domain
pct_disability_limited,0.27696687,21.897087,4_Demographics_Vulnerability
imd_2019_score,0.16949822,13.400581,3_Deprivation_Economics
gas_grid_disconnection_pct,0.1592846,12.59309,3_Deprivation_Economics
overcrowded_bedrooms_pct,0.14576595,11.524301,6_Housing
cohabiting_household_pct,0.065274164,5.1605954,4_Demographics_Vulnerability
overcrowded_1_bedroom_pct,0.051591087,4.0788074,6_Housing
pct_social_grade_de,0.050066613,3.958282,3_Deprivation_Economics
cohabiting_dependent_children_pct,0.042074163,3.3263962,4_Demographics_Vulnerability
other_household_types_pct,0.038118772,3.013682,4_Demographics_Vulnerability
overcrowded_2plus_bedrooms_pct,0.037809607,2.9892392,6_Housing
one_person_other_pct,0.031887576,2.5210416,4_Demographics_Vulnerability
hosp_car_time,0.01819825,1.4387593,2_Geography_Accessibility
married_no_children_pct,0.015188226,1.2007859,4_Demographics_Vulnerability
underoccupied_1_bedroom_pct,0.013981642,1.105393,6_Housing
pct_no_qualifications,0.013864893,1.0961627,4_Demographics_Vulnerability
other_households_dependent_children_pct,0.013179651,1.0419873,4_Demographics_Vulnerability
one_person_household_pct,0.01142621,0.9033597,4_Demographics_Vulnerability
lone_parent_pct,0.011284197,0.89213204,4_Demographics_Vulnerability
fuel_poverty_pct,0.010378464,0.82052463,3_Deprivation_Economics
imd_2025_decile,0.009423232,0.74500364,3_Deprivation_Economics
shared_ownership_pct,0.00824733,0.6520364,6_Housing
married_dependent_children_pct,0.007157178,0.5658487,4_Demographics_Vulnerability
is_rural,0.0063947095,0.5055677,2_Geography_Accessibility
avg_download_speed,0.006193431,0.48965457,2_Geography_Accessibility
unemployment_rate,0.0060997875,0.48225108,3_Deprivation_Economics
pension_credit_rate,0.0058804024,0.46490645,3_Deprivation_Economics
social_rented_pct,0.0055368696,0.4377466,6_Housing
hosp_pt_time,0.0051812874,0.40963417,2_Geography_Accessibility
pensioner_couple_household_pct,0.005100349,0.40323517,4_Demographics_Vulnerability
one_person_aged_66_plus_pct,0.0031386225,0.24814047,4_Demographics_Vulnerability
one_person_household_pct,0.0029913343,0.23649582,4_Demographics_Vulnerability
gp_pt_time,0.0029828877,0.23582801,2_Geography_Accessibility
lone_parent_dependent_children_pct,0.0025258092,0.19969125,4_Demographics_Vulnerability
underoccupied_2plus_bedrooms_pct,0.0023370828,0.1847705,6_Housing
private_rented_pct,0.0021141805,0.16714777,6_Housing
owner_occupied_pct,0.0016433464,0.12992348,6_Housing
lone_parent_pct,0.001528594,0.12085111,4_Demographics_Vulnerability
pct_aged_65_plus,0.0013744605,0.10866527,4_Demographics_Vulnerability
rent_free_pct,0.0010610884,0.083889976,6_Housing
occupancy_balanced_pct,0.0009261964,0.07322538,6_Housing
gp_car_time,0.00057403074,0.04538305,2_Geography_Accessibility
qof_mh021_pct,0.00045954148,0.036331493,5_Other
no_car_pct,7.973739e-05,0.006304063,2_Geography_Accessibility
qof_mh002_pct,6.657236e-05,0.005263231,5_Other
isolation_normalized,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
qof_mh_pca_pct,0.0,0.0,5_Other
