Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%
national,Validation (2019),AR Baseline (Persistence),0.37705559025890595,0.295042776900397,0.8352580488279369,0.0,44.93362562416271,85.85129704055535
national,Test (2020-2022 Aggregate),AR Baseline (Persistence),0.3288775104436354,0.2501379085386651,0.869566306456008,0.0,44.16940689319206,84.73287865870986
national,Test (2020),AR Baseline (Persistence),0.32572540842916614,0.24454705206803878,0.8652332147943664,0.0,44.242479600535866,84.93788819875776
national,Test (2021),AR Baseline (Persistence),0.3583619108329936,0.2784272608686017,0.8485544371590035,0.0,46.09669954938497,86.81646571672147
national,Test (2022),AR Baseline (Persistence),0.299934909262975,0.22743941267935464,0.8913399648012231,0.0,46.23066617951528,87.02959444647425
national,Validation (2019),AR Baseline (Momentum Drift),0.5025787142073359,0.38061376870087604,0.707314222617256,61.027889416636214,33.61953477042991,71.36158811350627
national,Test (2020-2022 Aggregate),AR Baseline (Momentum Drift),0.5498973558839373,0.41751930417847266,0.6353428755701971,42.23399504729428,32.281898266553,68.85580319084156
national,Test (2020),AR Baseline (Momentum Drift),0.5736022301860482,0.43060681977419485,0.5820722042221825,42.63183534283279,33.61953477042991,71.33418584825235
national,Test (2021),AR Baseline (Momentum Drift),0.5469909289979815,0.4197732903097939,0.6471638172655088,41.85239313116551,32.98928266958958,70.14066496163683
national,Test (2022),AR Baseline (Momentum Drift),0.5281502732593764,0.4021778024514293,0.6630768696801002,42.217756667884544,35.25453659724759,73.18536110096213
national,Validation (2019),Multimodal Ridge,0.28839384988270245,0.21700753189082184,0.9036247702155022,78.65668006332967,47.3754719279016,88.38448422847401
national,Test (2020-2022 Aggregate),Multimodal Ridge,0.33297074102321134,0.2590907597847735,0.8662993294642716,60.415905492631836,46.80509885113466,87.61113140908537
national,Test (2020),Multimodal Ridge,0.3588586682926524,0.28036329973109864,0.8364214040102278,52.240896358543424,46.50773352819388,87.48325417123371
national,Test (2021),Multimodal Ridge,0.28435880377439027,0.21681790223281727,0.904644395539421,76.72329801485812,48.474607234198025,88.8655462184874
national,Test (2022),Multimodal Ridge,0.3506694598049013,0.2800910773904046,0.8514708491917693,52.283522104493976,48.67860187553282,89.35878699305809
national,Validation (2019),Multimodal ElasticNet,0.2936327074902066,0.21986179072210016,0.9000915326981724,78.44659602971623,47.30239922055779,88.22616002922908
