Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%
lincolnshire,Validation (2019 Pre-COVID),AR Baseline (Persistence),0.4335721060784814,0.3420811836636016,0.6149776398761859,0.0,36.66666666666666,76.19047619047619
lincolnshire,Test (2020-2022 Aggregate),AR Baseline (Persistence),0.3138424590443786,0.2445087477691745,0.7831778700807436,0.0,38.17460317460317,75.71428571428571
lincolnshire,Test (2020),AR Baseline (Persistence),0.2990557787909372,0.2281322479280869,0.7790706560277458,0.0,36.66666666666666,76.66666666666667
lincolnshire,Test (2021),AR Baseline (Persistence),0.3593931665784219,0.2802957084783111,0.7195262450477425,0.0,39.76190476190476,76.66666666666667
lincolnshire,Test (2022),AR Baseline (Persistence),0.2772967008198044,0.2250982869011255,0.8295607099224032,0.0,35.23809523809524,77.14285714285715
lincolnshire,Validation (2019 Pre-COVID),AR Baseline (Momentum Drift),0.5062739574802877,0.3776356881669088,0.4750300314622967,61.42857142857143,24.52380952380952,63.57142857142857
lincolnshire,Test (2020-2022 Aggregate),AR Baseline (Momentum Drift),0.5380740741072421,0.3998860630893523,0.3626700253702513,47.53968253968254,27.53968253968254,59.20634920634921
lincolnshire,Test (2020),AR Baseline (Momentum Drift),0.5996604062103049,0.4401052415726733,0.1116998112413691,48.57142857142857,28.57142857142857,62.142857142857146
lincolnshire,Test (2021),AR Baseline (Momentum Drift),0.5349702722953756,0.3978990998831045,0.3785418367325177,43.57142857142857,28.809523809523807,58.0952380952381
lincolnshire,Test (2022),AR Baseline (Momentum Drift),0.4720014117171698,0.3616538478122789,0.5061820108267414,50.47619047619048,28.09523809523809,63.57142857142857
lincolnshire,Validation (2019 Pre-COVID),Multimodal Ridge,0.3151350632409143,0.2315368232192918,0.7965972883827128,83.80952380952381,39.523809523809526,78.33333333333333
lincolnshire,Test (2020-2022 Aggregate),Multimodal Ridge,0.2569706367321059,0.1979687457065264,0.8546392310542675,71.11111111111111,39.84126984126984,80.63492063492063
lincolnshire,Test (2020),Multimodal Ridge,0.2620806816683816,0.20240325095758,0.830324544197765,66.19047619047619,37.61904761904762,80.95238095238095
lincolnshire,Test (2021),Multimodal Ridge,0.2676875274129943,0.199312590413888,0.8444002586588305,79.28571428571428,42.85714285714285,80.23809523809524
lincolnshire,Test (2022),Multimodal Ridge,0.2403306646919314,0.1921903957481113,0.8719738496594713,67.85714285714286,36.66666666666666,81.9047619047619
lincolnshire,Validation (2019 Pre-COVID),Multimodal ElasticNet,0.3272293470538003,0.239723947091891,0.7806852832281603,83.0952380952381,39.76190476190476,77.14285714285715
lincolnshire,Test (2020-2022 Aggregate),Multimodal ElasticNet,0.2489703318545448,0.1929327770867999,0.86354941347926,72.53968253968253,40.63492063492063,80.47619047619048
lincolnshire,Test (2020),Multimodal ElasticNet,0.2431549610332935,0.189221302572989,0.8539453881922223,68.80952380952381,38.57142857142858,82.85714285714286
