Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%
national,Validation (2017),AR Baseline (Persistence),0.3346089634937338,0.26041082431902657,0.8459091049769552,0.0,45.079771038850325,85.96090610157107
national,Test (2018-2019 Aggregate),AR Baseline (Persistence),0.3786910729554603,0.29624722515098273,0.8298885197950644,0.0,44.6443794909268,85.2910729509195
national,Test (2018),AR Baseline (Persistence),0.38031952267379543,0.2974516734015685,0.819106753568863,0.0,43.69747899159664,84.5085860431129
national,Test (2019),AR Baseline (Persistence),0.37705559025890595,0.295042776900397,0.8352580488279369,0.0,44.93362562416271,85.85129704055535
national,Validation (2017),AR Baseline (Momentum Drift),0.4671098249574813,0.35228612268779697,0.6997107116762961,58.06235537693338,33.99403239556692,71.73913043478261
national,Test (2018-2019 Aggregate),AR Baseline (Momentum Drift),0.4909287603168594,0.3721903133316607,0.7141090292332919,60.24388016075996,34.03209109730849,71.59907441237364
national,Test (2018),AR Baseline (Momentum Drift),0.47899554427802127,0.36376685796244546,0.7130620036237896,59.459870904883694,33.71696504688832,71.31287297527706
national,Test (2019),AR Baseline (Momentum Drift),0.5025787142073359,0.38061376870087604,0.707314222617256,61.027889416636214,33.61953477042991,71.36158811350627
national,Validation (2017),Multimodal Ridge,0.2669967925007591,0.20194381828033076,0.9018898534006503,75.31055900621118,46.921812203142125,88.06479113384485
national,Test (2018-2019 Aggregate),Multimodal Ridge,0.29538039964800517,0.22134114134006722,0.8965032204770407,78.63080014614542,46.897454634027525,87.4391060772135
national,Test (2018),Multimodal Ridge,0.2975465581302706,0.22252486111707975,0.8892777312246336,78.6962611131409,46.0997442455243,86.69467787114846
national,Test (2019),Multimodal Ridge,0.2931982379504693,0.22015742156305465,0.9003869703063104,78.56533917914992,47.17756667884545,88.19571306783584
national,Validation (2017),Multimodal ElasticNet,0.2686888736211221,0.20258298300765454,0.9006423749796248,75.39885519425161,46.906588722445505,87.9277798075752
national,Test (2018-2019 Aggregate),Multimodal ElasticNet,0.30333822807191696,0.22615065645886095,0.8908514979703033,78.22890025575447,46.78480087687249,87.36451102180003
national,Test (2018),Multimodal ElasticNet,0.30385036744671934,0.22617440594272836,0.8845365191073853,78.3582998416758,45.907928388746804,86.57593472171477
national,Test (2019),Multimodal ElasticNet,0.3028252225659453,0.2261269069749936,0.8937381121240577,78.09950066983316,47.229326513213984,88.20180246011448
national,Validation (2017),Multimodal Random Forest,0.2694617768163542,0.2028621349587604,0.900069933878208,75.5419559127999,46.88527584947022,87.76336621605164
national,Test (2018-2019 Aggregate),Multimodal Random Forest,0.30206823952432554,0.2247046655751266,0.8917635305438006,78.15278285227134,46.78936792108148,87.31884057971014
national,Test (2018),Multimodal Random Forest,0.30184380198519145,0.22467198760962617,0.8860564779908683,78.48008768724881,45.75569358178054,86.33235903056875
