feature,mean_abs_shap,importance_pct,domain
lag_1,0.12671002173867393,21.358113235121493,1_Temporal_History
spatial_lag_1,0.09052477838683258,15.258765177688643,2_Geography_Accessibility
rolling_mean_3yr,0.08833546645340984,14.889736970294898,1_Temporal_History
rolling_max_3yr,0.05148051961149918,8.677504369251473,1_Temporal_History
lad_mean_samhi_lag_1,0.03987349149312898,6.721035437483265,2_Geography_Accessibility
pct_disability_limited,0.03474576715731275,5.856711404545115,4_Demographics_Vulnerability
decile_lag_1,0.03394870958675752,5.722360185807745,1_Temporal_History
rolling_min_3yr,0.025377987699364397,4.277687964417026,1_Temporal_History
lag_2,0.02072199496254565,3.4928785331632834,1_Temporal_History
lone_parent_pct,0.015273372481298772,2.5744642330702328,4_Demographics_Vulnerability
pct_social_grade_de,0.014012452863729624,2.3619248963793273,3_Deprivation_Economics
pct_aged_65_plus,0.009992391589336692,1.6843074298801886,4_Demographics_Vulnerability
imd_2019_score,0.008572225001268991,1.4449255847468745,3_Deprivation_Economics
lag_3,0.007225298726414243,1.2178890528059467,1_Temporal_History
pct_no_qualifications,0.005755066458532868,0.9700681872701334,4_Demographics_Vulnerability
imd_2025_decile,0.0043066905694160605,0.7259314108549588,3_Deprivation_Economics
one_person_household_pct,0.002921517237351918,0.49244799359604785,4_Demographics_Vulnerability
unemployment_rate,0.002478597716831018,0.4177899267476244,3_Deprivation_Economics
acceleration,0.0022396451682910835,0.37751232660592154,1_Temporal_History
delta_1,0.0019380597499672953,0.326677393218368,1_Temporal_History
delta_2,0.0012810156665364167,0.21592670639956718,1_Temporal_History
spatial_delta_1,0.001265405524634767,0.21329547665327803,2_Geography_Accessibility
gp_pt_time,0.0010139911773085523,0.17091732829969336,2_Geography_Accessibility
rolling_std_3yr,0.0008255236890632199,0.13914943891060844,1_Temporal_History
pension_credit_rate,0.0005778725197151731,0.09740560803466888,3_Deprivation_Economics
hosp_car_time,0.0004121102231288219,0.06946488281005544,2_Geography_Accessibility
gp_car_time,0.00040042873516840617,0.06749586300254705,2_Geography_Accessibility
hosp_pt_time,0.0003801222119338379,0.0640730159640546,2_Geography_Accessibility
is_rural,0.00028764732619541907,0.04848554266159172,2_Geography_Accessibility
no_car_pct,0.00028479687384218023,0.04800507329305706,2_Geography_Accessibility
qof_mh021_pct,3.736512661229682e-05,0.006298227987648665,5_Other
avg_download_speed,3.567956244524031e-05,0.006014110994761526,2_Geography_Accessibility
qof_mh002_pct,2.8102992616648205e-05,0.004737012039900524,5_Other
isolation_scale,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
qof_mh_pca_pct,0.0,0.0,5_Other
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
