feature,mean_abs_shap,importance_pct,domain
lag_1,0.1710587055682042,30.585577938735387,1_Temporal_History
rolling_mean_3yr,0.09250880778747879,16.540727004830963,1_Temporal_History
rolling_max_3yr,0.08893823204925838,15.902302189416028,1_Temporal_History
spatial_lag_1,0.04606895158008898,8.23720432367487,2_Geography_Accessibility
lag_2,0.042877803145141766,7.6666217342244005,1_Temporal_History
rolling_min_3yr,0.03933582244373742,7.033309758429606,1_Temporal_History
lag_3,0.016298755912925702,2.9142443678813508,1_Temporal_History
pct_disability_limited,0.016093525982985933,2.877548918814999,4_Demographics_Vulnerability
spatial_delta_1,0.013468550269279927,2.4081989432486814,2_Geography_Accessibility
imd_2019_score,0.0124188592952207,2.2205124703969705,3_Deprivation_Economics
one_person_household_pct,0.01044078187787475,1.8668289743356474,4_Demographics_Vulnerability
lad_mean_samhi_lag_1,0.009770175081401478,1.7469233760110954,2_Geography_Accessibility
delta_1,0.0,0.0,1_Temporal_History
delta_2,0.0,0.0,1_Temporal_History
acceleration,0.0,0.0,1_Temporal_History
decile_lag_1,0.0,0.0,1_Temporal_History
unemployment_rate,0.0,0.0,3_Deprivation_Economics
rolling_std_3yr,0.0,0.0,1_Temporal_History
pct_social_grade_de,0.0,0.0,3_Deprivation_Economics
pension_credit_rate,0.0,0.0,3_Deprivation_Economics
pct_aged_65_plus,0.0,0.0,4_Demographics_Vulnerability
imd_2025_decile,0.0,0.0,3_Deprivation_Economics
pct_no_qualifications,0.0,0.0,4_Demographics_Vulnerability
lone_parent_pct,0.0,0.0,4_Demographics_Vulnerability
is_rural,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
avg_download_speed,0.0,0.0,2_Geography_Accessibility
gp_pt_time,0.0,0.0,2_Geography_Accessibility
gp_car_time,0.0,0.0,2_Geography_Accessibility
hosp_pt_time,0.0,0.0,2_Geography_Accessibility
hosp_car_time,0.0,0.0,2_Geography_Accessibility
no_car_pct,0.0,0.0,2_Geography_Accessibility
qof_mh002_pct,0.0,0.0,5_Healthcare_Service
qof_mh021_pct,0.0,0.0,5_Healthcare_Service
qof_mh_pca_pct,0.0,0.0,5_Healthcare_Service
qof_dep_pca_pct,0.0,0.0,5_Healthcare_Service
qof_dep004_pct,0.0,0.0,5_Healthcare_Service
