feature,mean_abs_shap,importance_pct,domain
lag_1,0.08908883851191521,23.53724113517712,1_Temporal_History
spatial_lag_1,0.0837378651467821,22.12351577398944,2_Geography_Accessibility
rolling_mean_3yr,0.045139569120560157,11.925858961406488,1_Temporal_History
rolling_max_3yr,0.043959044391446565,11.613964725503187,1_Temporal_History
rolling_min_3yr,0.031216405104277214,8.247363716774437,1_Temporal_History
lag_2,0.02551621942992303,6.741376581083894,1_Temporal_History
pct_disability_limited,0.017606827037643966,4.651717774443273,4_Demographics_Vulnerability
decile_lag_1,0.01317548202733756,3.4809579149262353,1_Temporal_History
lad_mean_samhi_lag_1,0.01293817992573578,3.4182627795918763,2_Geography_Accessibility
imd_2019_score,0.00841114504631645,2.222221688877699,3_Deprivation_Economics
pct_social_grade_de,0.004974887158597731,1.3143635120638602,3_Deprivation_Economics
lone_parent_pct,0.0027371550259986947,0.7231554361624856,4_Demographics_Vulnerability
delta_1,0.0,0.0,1_Temporal_History
lag_3,0.0,0.0,1_Temporal_History
acceleration,0.0,0.0,1_Temporal_History
delta_2,0.0,0.0,1_Temporal_History
spatial_delta_1,0.0,0.0,2_Geography_Accessibility
rolling_std_3yr,0.0,0.0,1_Temporal_History
unemployment_rate,0.0,0.0,3_Deprivation_Economics
pension_credit_rate,0.0,0.0,3_Deprivation_Economics
pct_aged_65_plus,0.0,0.0,4_Demographics_Vulnerability
imd_2025_decile,0.0,0.0,3_Deprivation_Economics
pct_no_qualifications,0.0,0.0,4_Demographics_Vulnerability
one_person_household_pct,0.0,0.0,4_Demographics_Vulnerability
is_rural,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
avg_download_speed,0.0,0.0,2_Geography_Accessibility
gp_pt_time,0.0,0.0,2_Geography_Accessibility
gp_car_time,0.0,0.0,2_Geography_Accessibility
hosp_pt_time,0.0,0.0,2_Geography_Accessibility
hosp_car_time,0.0,0.0,2_Geography_Accessibility
no_car_pct,0.0,0.0,2_Geography_Accessibility
qof_mh002_pct,0.0,0.0,5_Healthcare_Service
qof_mh021_pct,0.0,0.0,5_Healthcare_Service
qof_mh_pca_pct,0.0,0.0,5_Healthcare_Service
qof_dep_pca_pct,0.0,0.0,5_Healthcare_Service
qof_dep004_pct,0.0,0.0,5_Healthcare_Service
