feature,mean_abs_shap,importance_pct,domain
rolling_min_3yr,0.040986725000698644,14.321169782665194,Model-specific permutation importance
lag_1,0.0409030033536532,14.29191660564747,Model-specific permutation importance
rolling_max_3yr,0.03698339693828199,12.922367100172272,Model-specific permutation importance
rolling_mean_3yr,0.03464205225313195,12.104277956548259,Model-specific permutation importance
lag_2,0.03403806440950598,11.893238590629513,Model-specific permutation importance
lag_3,0.028959542710446717,10.118752546771722,Model-specific permutation importance
spatial_lag_1,0.010337936156227667,3.61217781838305,Model-specific permutation importance
pct_disability_limited,0.00928613759195388,3.2446689282272336,Model-specific permutation importance
delta_2,0.00631472558833499,2.2064279905248405,Model-specific permutation importance
decile_lag_1,0.00569769641137532,1.990831852898646,Model-specific permutation importance
imd_2019_score,0.005389660203506519,1.8832009350338437,Model-specific permutation importance
qof_mh002_pct,0.004330875930694178,1.513251168764331,Model-specific permutation importance
imd_2025_decile,0.003509499306725805,1.2262539986522303,Model-specific permutation importance
rolling_std_3yr,0.0034951905913333083,1.2212543910352691,Model-specific permutation importance
pct_social_grade_de,0.0034251350833578663,1.1967762990698814,Model-specific permutation importance
hosp_car_time,0.003171073326142404,1.1080045916377097,Model-specific permutation importance
one_person_household_pct,0.003109987583210361,1.0866606248822512,Model-specific permutation importance
qof_mh021_pct,0.002155433150912112,0.7531298026097765,Model-specific permutation importance
pension_credit_rate,0.002004175091722837,0.7002787307905692,Model-specific permutation importance
acceleration,0.0015541273476158191,0.5430275682848507,Model-specific permutation importance
delta_1,0.0014690834218629267,0.5133123739220224,Model-specific permutation importance
spatial_delta_1,0.0010213858547254429,0.35688238664802663,Model-specific permutation importance
lad_mean_samhi_lag_1,0.0007803326070992767,0.2726559819802149,Model-specific permutation importance
is_rural,0.0005226622940685099,0.18262340921907824,Model-specific permutation importance
no_car_pct,0.0004901708071427425,0.17127056019912776,Model-specific permutation importance
hosp_pt_time,0.00045652759465140134,0.1595152867998853,Model-specific permutation importance
avg_download_speed,0.0004202802976622566,0.1468501203506171,Model-specific permutation importance
unemployment_rate,0.00023900171499630085,0.08350957874169841,Model-specific permutation importance
pct_no_qualifications,0.00015596968068541938,0.05449735927927623,Model-specific permutation importance
gp_car_time,0.00013973962605169367,0.04882641660240814,Model-specific permutation importance
lone_parent_pct,0.0001172948265796614,0.04098398020449225,Model-specific permutation importance
pct_aged_65_plus,7.96286986018524e-05,0.027823060081779268,Model-specific permutation importance
gp_pt_time,1.0252148457812193e-05,0.00358220274244685,Model-specific permutation importance
isolation_scale,0.0,0.0,Model-specific permutation importance
isolation_normalized,0.0,0.0,Model-specific permutation importance
qof_mh_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep004_pct,0.0,0.0,Model-specific permutation importance
