feature,mean_abs_shap,importance_pct,domain
lag_1,0.0326889594326353,29.311700778731858,Model-specific permutation importance
lag_2,0.015152849865817431,13.587333733494772,Model-specific permutation importance
rolling_min_3yr,0.012629397552089893,11.324591803706243,Model-specific permutation importance
decile_lag_1,0.010025643811954288,8.98984478645602,Model-specific permutation importance
rolling_mean_3yr,0.00734244602383487,6.583861480147664,Model-specific permutation importance
spatial_lag_1,0.006624176082279365,5.939799571458916,Model-specific permutation importance
lone_parent_pct,0.004773925522299827,4.280707580734477,Model-specific permutation importance
pct_aged_65_plus,0.004044255892127447,3.6264237418433565,Model-specific permutation importance
delta_2,0.003640157064042282,3.264074369472599,Model-specific permutation importance
lag_3,0.003294827211052975,2.9544222576748638,Model-specific permutation importance
unemployment_rate,0.00197226699780747,1.7685023047195796,Model-specific permutation importance
rolling_max_3yr,0.0010777064152806882,0.9663632162145155,Model-specific permutation importance
delta_1,0.0010455346962534695,0.9375153171675421,Model-specific permutation importance
pct_disability_limited,0.0009324128471763782,0.8360806478102112,Model-specific permutation importance
imd_2025_decile,0.0008650081401072263,0.7756398555983751,Model-specific permutation importance
spatial_delta_1,0.0008383475533152662,0.75173370636038,Model-specific permutation importance
lad_mean_samhi_lag_1,0.0007997711582100941,0.7171428301113166,Model-specific permutation importance
imd_2019_score,0.000513009083501681,0.46000756871325355,Model-specific permutation importance
pension_credit_rate,0.0005053257027699543,0.4531179961821498,Model-specific permutation importance
hosp_pt_time,0.0004995664814526291,0.44795378860558827,Model-specific permutation importance
rolling_std_3yr,0.00046752455635811206,0.41922227383588406,Model-specific permutation importance
gp_pt_time,0.00045751436082214214,0.41024628128734136,Model-specific permutation importance
pct_social_grade_de,0.0003366930113503197,0.3019075851382989,Model-specific permutation importance
acceleration,0.0002481176100501803,0.22248334819933568,Model-specific permutation importance
pct_no_qualifications,0.00022835942747051474,0.20476648153368973,Model-specific permutation importance
avg_download_speed,0.00021818451767873225,0.19564279217667815,Model-specific permutation importance
qof_mh021_pct,0.00010647124728678792,0.09547117424891058,Model-specific permutation importance
one_person_household_pct,9.937455389336103e-05,0.0891076754751057,Model-specific permutation importance
qof_mh002_pct,4.8440608186350874e-05,0.04343596851481788,Model-specific permutation importance
hosp_car_time,4.4120107910328166e-05,0.039561840567546094,Model-specific permutation importance
gp_car_time,1.4913194314902789e-06,0.0013372438187099407,Model-specific permutation importance
isolation_normalized,0.0,0.0,Model-specific permutation importance
is_rural,0.0,0.0,Model-specific permutation importance
isolation_scale,0.0,0.0,Model-specific permutation importance
no_car_pct,0.0,0.0,Model-specific permutation importance
qof_mh_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep004_pct,0.0,0.0,Model-specific permutation importance
