feature,mean_abs_shap,importance_pct,domain
lag_1,0.031296223342438256,15.67161312154439,Model-specific permutation importance
lag_2,0.026640759833839633,13.340385413653769,Model-specific permutation importance
rolling_mean_3yr,0.025744513796930137,12.891589372084214,Model-specific permutation importance
rolling_max_3yr,0.022150513319368847,11.091890270160622,Model-specific permutation importance
lag_3,0.021651871423151926,10.842194874067628,Model-specific permutation importance
rolling_min_3yr,0.017884936614242387,8.955898743912591,Model-specific permutation importance
pct_disability_limited,0.008598814784399,4.30586454890817,Model-specific permutation importance
spatial_lag_1,0.007296165502353158,3.6535617020788087,Model-specific permutation importance
lad_mean_samhi_lag_1,0.005319280370912139,2.6636346228051155,Model-specific permutation importance
qof_mh002_pct,0.0038525015507012927,1.9291437561691667,Model-specific permutation importance
imd_2019_score,0.0036533179951587446,1.8294024043619148,Model-specific permutation importance
pension_credit_rate,0.003542247222825179,1.773783611190714,Model-specific permutation importance
pct_no_qualifications,0.0031787186237780983,1.5917463250764647,Model-specific permutation importance
one_person_household_pct,0.00287910911276158,1.44171658210045,Model-specific permutation importance
decile_lag_1,0.0028392516976218584,1.4217579441759982,Model-specific permutation importance
imd_2025_decile,0.0026691270128312407,1.3365678490871786,Model-specific permutation importance
hosp_car_time,0.0018875991991002983,0.945217065112248,Model-specific permutation importance
rolling_std_3yr,0.0011819936977852884,0.5918844501175372,Model-specific permutation importance
unemployment_rate,0.0011428475392007865,0.5722819745786103,Model-specific permutation importance
acceleration,0.0009805645605676316,0.49101862118535977,Model-specific permutation importance
gp_car_time,0.0008486146691260909,0.4249445895849545,Model-specific permutation importance
delta_1,0.000777708188491133,0.38943810306220183,Model-specific permutation importance
no_car_pct,0.000736856780184425,0.3689817221293358,Model-specific permutation importance
spatial_delta_1,0.0005239200334816507,0.26235344698020446,Model-specific permutation importance
hosp_pt_time,0.00044583081029636595,0.22325019540472626,Model-specific permutation importance
gp_pt_time,0.0003583751229505938,0.17945667813700003,Model-specific permutation importance
pct_aged_65_plus,0.0003453210230962678,0.17291982542066625,Model-specific permutation importance
delta_2,0.00028305181985056606,0.1417384636321922,Model-specific permutation importance
qof_mh021_pct,0.0002627501761617634,0.13157239655946243,Model-specific permutation importance
is_rural,0.00023559476851918725,0.1179743007740453,Model-specific permutation importance
lone_parent_pct,0.00022575953491946744,0.11304929834648993,Model-specific permutation importance
avg_download_speed,0.00013307338886875408,0.06663662398830096,Model-specific permutation importance
pct_social_grade_de,0.00013286266459183738,0.06653110360946735,Model-specific permutation importance
isolation_scale,0.0,0.0,Model-specific permutation importance
isolation_normalized,0.0,0.0,Model-specific permutation importance
qof_mh_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep004_pct,0.0,0.0,Model-specific permutation importance
