feature,mean_abs_shap,importance_pct,domain
decile_lag_1,0.18803776562548735,34.31178814306396,1_Temporal_History
lag_1,0.09759261429124647,17.80800306124849,1_Temporal_History
rolling_mean_3yr,0.060715709001352175,11.078968829907982,1_Temporal_History
spatial_lag_1,0.057981752708699257,10.58009601681182,2_Geography_Accessibility
rolling_max_3yr,0.05019507697804815,9.159239056934052,1_Temporal_History
lag_2,0.028763865376123486,5.248624666849308,1_Temporal_History
rolling_min_3yr,0.021352894863939525,3.8963237112263607,1_Temporal_History
lag_3,0.010874582264641565,1.984316084418135,1_Temporal_History
lad_mean_samhi_lag_1,0.008174740388439862,1.4916682263250536,2_Geography_Accessibility
pct_disability_limited,0.006990907440273117,1.275650847161033,4_Demographics_Vulnerability
pct_social_grade_de,0.002433341691696421,0.44401880828271006,3_Deprivation_Economics
pct_no_qualifications,0.002290449465336424,0.4179448556283269,4_Demographics_Vulnerability
imd_2019_score,0.001955008872300044,0.35673605257452196,3_Deprivation_Economics
pct_aged_65_plus,0.0017587949215981595,0.3209323325887952,4_Demographics_Vulnerability
delta_1,0.0015119946938843688,0.2758979901586609,1_Temporal_History
imd_2025_decile,0.0014477461006741875,0.26417436585699655,3_Deprivation_Economics
spatial_delta_1,0.0013618402687530483,0.2484988833531124,2_Geography_Accessibility
lone_parent_pct,0.0007754435375600734,0.14149739702109554,4_Demographics_Vulnerability
unemployment_rate,0.0005974071349638776,0.10901058615459848,3_Deprivation_Economics
hosp_pt_time,0.0005291353254177379,0.09655283407751655,2_Geography_Accessibility
one_person_household_pct,0.00037374400632308444,0.06819813627353291,4_Demographics_Vulnerability
pension_credit_rate,0.0003424152040570542,0.062481480246738094,3_Deprivation_Economics
gp_pt_time,0.0003134763886010537,0.057200931939143634,2_Geography_Accessibility
rolling_std_3yr,0.00028585120203763705,0.05216008524739751,1_Temporal_History
acceleration,0.00027621768052740807,0.05040222906339581,1_Temporal_History
gp_car_time,0.00023710585475100838,0.04326538250778903,2_Geography_Accessibility
hosp_car_time,0.00022627297537821528,0.041288676069152944,2_Geography_Accessibility
is_rural,0.000211961138569806,0.03867715433108734,2_Geography_Accessibility
delta_2,0.00020460543936220727,0.03733493888827089,1_Temporal_History
avg_download_speed,0.00016160100192084834,0.029487796364580147,2_Geography_Accessibility
no_car_pct,2.3611281617018284e-05,0.00430841799217562,2_Geography_Accessibility
qof_mh002_pct,1.601796886011317e-05,0.0029228445263758396,5_Other
qof_mh021_pct,1.2764511708629959e-05,0.002329176907837103,5_Other
isolation_scale,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
qof_mh_pca_pct,0.0,0.0,5_Other
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
