feature,mean_abs_shap,importance_pct,domain
lag_1,0.20031347625396306,39.59668321847474,1_Temporal_History
rolling_mean_3yr,0.15574086953578564,30.78585620150606,1_Temporal_History
spatial_lag_1,0.03503803497694557,6.92609402784753,2_Geography_Accessibility
pct_disability_limited,0.02133749103667137,4.217858374066356,4_Demographics_Vulnerability
rolling_max_3yr,0.017468171328446275,3.4529960711260217,1_Temporal_History
pct_social_grade_de,0.011164822305639067,2.206990464617851,3_Deprivation_Economics
pct_aged_65_plus,0.010157478990396478,2.0078652989433334,4_Demographics_Vulnerability
lag_2,0.010092781310603633,1.9950762765588406,1_Temporal_History
imd_2019_score,0.008917163793758053,1.7626877459858588,3_Deprivation_Economics
lad_mean_samhi_lag_1,0.008292767825888447,1.6392611557983872,2_Geography_Accessibility
decile_lag_1,0.006007191620350617,1.1874631106802198,1_Temporal_History
rolling_min_3yr,0.004276746973146512,0.8453999115194464,1_Temporal_History
pension_credit_rate,0.0031463763064605533,0.6219554880824862,3_Deprivation_Economics
acceleration,0.0028533995254665036,0.5640417171054308,1_Temporal_History
pct_no_qualifications,0.001605483835523644,0.3173617473794592,4_Demographics_Vulnerability
delta_1,0.0015817822923485346,0.3126765783411867,1_Temporal_History
gp_pt_time,0.0014124745404192995,0.2792089078431994,2_Geography_Accessibility
unemployment_rate,0.0012416940918014998,0.24545012410937547,3_Deprivation_Economics
is_rural,0.0008937108433490071,0.1766630274447469,2_Geography_Accessibility
hosp_car_time,0.0008335906442152748,0.16477885207797388,2_Geography_Accessibility
delta_2,0.0007841825314711367,0.15501217324368544,1_Temporal_History
rolling_std_3yr,0.0005170793336834995,0.10221292624729458,1_Temporal_History
avg_download_speed,0.0004821476221390555,0.09530784955364842,2_Geography_Accessibility
hosp_pt_time,0.00037837339657038145,0.07479442622872107,2_Geography_Accessibility
imd_2025_decile,0.0003768616183727382,0.07449558761083007,3_Deprivation_Economics
gp_car_time,0.0003478421220595148,0.06875919970441895,2_Geography_Accessibility
no_car_pct,0.0002637694210531668,0.05214024739364529,2_Geography_Accessibility
lag_3,0.0001795258010724198,0.03548750891624986,1_Temporal_History
spatial_delta_1,0.0001791932967428566,0.03542178159299282,2_Geography_Accessibility
lone_parent_pct,0.0,0.0,4_Demographics_Vulnerability
one_person_household_pct,0.0,0.0,4_Demographics_Vulnerability
isolation_scale,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
