feature,mean_abs_shap,importance_pct,domain
rolling_mean_3yr,0.2551968654065923,33.03436445994205,1_Temporal_History
rolling_max_3yr,0.22346600135587522,28.92691225432736,1_Temporal_History
lag_1,0.1718947404960269,22.251188302198578,1_Temporal_History
spatial_lag_1,0.019635406486306795,2.541736447876498,2_Geography_Accessibility
lad_mean_samhi_lag_1,0.01727567140222215,2.236276783736946,2_Geography_Accessibility
imd_2019_score,0.008205458638364544,1.0621686547318852,3_Deprivation_Economics
one_person_household_pct,0.006475491218964613,0.8382302683993136,4_Demographics_Vulnerability
pct_disability_limited,0.006043202203606467,0.7822719286970675,4_Demographics_Vulnerability
spatial_delta_1,0.00534559663793222,0.6919692658134512,2_Geography_Accessibility
no_car_pct,0.005210201673766203,0.6744428491579217,2_Geography_Accessibility
lag_2,0.004800717473698261,0.6214365150711756,1_Temporal_History
rolling_min_3yr,0.004290328245704903,0.5553683690259715,1_Temporal_History
pension_credit_rate,0.0042896010240303355,0.5552742326587299,3_Deprivation_Economics
qof_mh002_pct,0.0037137872851879736,0.48073710666521796,5_Other
delta_2,0.0034356401156620145,0.44473190355669867,1_Temporal_History
rolling_std_3yr,0.0029027240219891485,0.37574773152578583,1_Temporal_History
lag_3,0.00287501783443801,0.3721612599760606,1_Temporal_History
qof_mh021_pct,0.002646475879014493,0.34257728276764277,5_Other
pct_aged_65_plus,0.0024205913289761715,0.31333729762931756,4_Demographics_Vulnerability
decile_lag_1,0.002207459729147436,0.28574813843076935,1_Temporal_History
delta_1,0.002156023558183852,0.27908990140529594,1_Temporal_History
acceleration,0.001888756845206221,0.24449313631397318,1_Temporal_History
gp_car_time,0.0018293101371691044,0.23679796256599991,2_Geography_Accessibility
pct_social_grade_de,0.0018081940346686542,0.23406455506562962,3_Deprivation_Economics
hosp_pt_time,0.0017009698553379954,0.2201847504948182,2_Geography_Accessibility
unemployment_rate,0.0016814644774770303,0.2176598458093261,3_Deprivation_Economics
avg_download_speed,0.001673214173334802,0.21659187205696237,2_Geography_Accessibility
lone_parent_pct,0.0016247206586220292,0.21031455185393796,4_Demographics_Vulnerability
gp_pt_time,0.001539519612711506,0.1992855668446896,2_Geography_Accessibility
pct_no_qualifications,0.0014741957481126126,0.19082961521043412,4_Demographics_Vulnerability
hosp_car_time,0.0013356419321973493,0.17289429596202502,2_Geography_Accessibility
imd_2025_decile,0.0011710507379278337,0.15158852682675944,3_Deprivation_Economics
is_rural,0.00030533339548054867,0.039524367401714604,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
qof_mh_pca_pct,0.0,0.0,5_Other
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
