feature,mean_abs_shap,importance_pct,domain
lag_1,0.10570570180038516,59.127740487746614,Model-specific permutation importance
rolling_mean_3yr,0.026786903683727416,14.983572905770421,Model-specific permutation importance
lag_2,0.020335801086866123,11.375072004585798,Model-specific permutation importance
rolling_max_3yr,0.0037632789670134503,2.1050348122636056,Model-specific permutation importance
decile_lag_1,0.0030860661189164307,1.726227757816686,Model-specific permutation importance
lone_parent_pct,0.003054591830027831,1.7086222402926095,Model-specific permutation importance
lag_3,0.0026589037572363416,1.4872894144977145,Model-specific permutation importance
spatial_lag_1,0.0019492804360357163,1.0903531767606263,Model-specific permutation importance
pct_aged_65_plus,0.001614233686022548,0.9029407955112985,Model-specific permutation importance
pct_disability_limited,0.0012548932755612197,0.7019394665892256,Model-specific permutation importance
delta_2,0.0011501897507946168,0.6433723057349993,Model-specific permutation importance
spatial_delta_1,0.001037117523951414,0.5801240119222226,Model-specific permutation importance
delta_1,0.0009060726761839777,0.5068225190123954,Model-specific permutation importance
unemployment_rate,0.0006462311486278738,0.3614770726684501,Model-specific permutation importance
imd_2025_decile,0.0005792019616621569,0.32398350037754536,Model-specific permutation importance
pension_credit_rate,0.0005237296992622431,0.29295443118273357,Model-specific permutation importance
hosp_pt_time,0.0004956403241629048,0.27724230541232797,Model-specific permutation importance
lad_mean_samhi_lag_1,0.0004720333416693978,0.26403745921386323,Model-specific permutation importance
hosp_car_time,0.00046739032702617365,0.261440333796506,Model-specific permutation importance
rolling_min_3yr,0.0004327360285389825,0.24205604011285076,Model-specific permutation importance
imd_2019_score,0.0003870101786499269,0.2164787425804306,Model-specific permutation importance
pct_no_qualifications,0.0003805070637338148,0.21284114797036888,Model-specific permutation importance
acceleration,0.0002777063170840588,0.15533832866804045,Model-specific permutation importance
pct_social_grade_de,0.00021871735309821893,0.12234215064935326,Model-specific permutation importance
one_person_household_pct,0.0001804976364395139,0.10096349794073574,Model-specific permutation importance
rolling_std_3yr,0.00017029097539985604,0.09525428079425743,Model-specific permutation importance
gp_pt_time,8.668027967384528e-05,0.04848564452690429,Model-specific permutation importance
gp_car_time,7.005652372844562e-05,0.03918694908540971,Model-specific permutation importance
qof_mh002_pct,6.696666826350173e-05,0.03745860171186073,Model-specific permutation importance
qof_mh021_pct,1.3460276588495024e-05,0.007529165669045539,Model-specific permutation importance
avg_download_speed,3.250935016785306e-06,0.00181844913510909,Model-specific permutation importance
isolation_normalized,0.0,0.0,Model-specific permutation importance
is_rural,0.0,0.0,Model-specific permutation importance
isolation_scale,0.0,0.0,Model-specific permutation importance
no_car_pct,0.0,0.0,Model-specific permutation importance
qof_mh_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep004_pct,0.0,0.0,Model-specific permutation importance
