feature,mean_abs_shap,importance_pct,domain
lag_1,0.16874408598571314,66.31124111416182,Model-specific permutation importance
rolling_mean_3yr,0.032160103566778765,12.637932579478006,Model-specific permutation importance
lag_2,0.023619857572660257,9.28187830366656,Model-specific permutation importance
lag_3,0.0064299216610902155,2.526761652848827,Model-specific permutation importance
imd_2019_score,0.005728314050896804,2.2510514190039195,Model-specific permutation importance
pct_disability_limited,0.004882439627140961,1.9186487600406574,Model-specific permutation importance
spatial_lag_1,0.0026864291277663766,1.0556841064196232,Model-specific permutation importance
pct_aged_65_plus,0.0016125829992792383,0.6336955719494508,Model-specific permutation importance
delta_1,0.001546852763009543,0.607865608663273,Model-specific permutation importance
lone_parent_pct,0.0011991936367416966,0.4712462539000024,Model-specific permutation importance
rolling_min_3yr,0.0011805923702810194,0.463936527706652,Model-specific permutation importance
lad_mean_samhi_lag_1,0.0007327099589244546,0.28793250127356024,Model-specific permutation importance
rolling_max_3yr,0.0005955622623271539,0.23403767038695064,Model-specific permutation importance
pct_social_grade_de,0.0005689606851413565,0.22358406788894222,Model-specific permutation importance
pension_credit_rate,0.00044457376695695717,0.17470383084246247,Model-specific permutation importance
rolling_std_3yr,0.0004025986292196915,0.15820889140184918,Model-specific permutation importance
acceleration,0.00034338078378526316,0.13493809762009848,Model-specific permutation importance
unemployment_rate,0.0002970598470529495,0.1167353926995222,Model-specific permutation importance
imd_2025_decile,0.0002630228340509244,0.10335989238021479,Model-specific permutation importance
spatial_delta_1,0.0001998701211764764,0.07854281659371573,Model-specific permutation importance
one_person_household_pct,0.00019713428103244058,0.07746771547606043,Model-specific permutation importance
pct_no_qualifications,0.00016151729728904884,0.06347133520014844,Model-specific permutation importance
decile_lag_1,0.00013307036269675221,0.052292563940169116,Model-specific permutation importance
hosp_pt_time,0.00012195855396043842,0.04792596451818677,Model-specific permutation importance
gp_car_time,7.58808941155209e-05,0.029818859939651495,Model-specific permutation importance
hosp_car_time,5.3034452876937754e-05,0.02084091049198621,Model-specific permutation importance
qof_mh002_pct,3.850448521889316e-05,0.015131079637024312,Model-specific permutation importance
delta_2,3.713180776505065e-05,0.014591659573310607,Model-specific permutation importance
avg_download_speed,9.519409547115166e-06,0.003740835467245071,Model-specific permutation importance
gp_pt_time,4.553131331019866e-06,0.001789240717694044,Model-specific permutation importance
qof_mh021_pct,2.404198426581017e-06,0.0009447761124191348,Model-specific permutation importance
isolation_normalized,0.0,0.0,Model-specific permutation importance
is_rural,0.0,0.0,Model-specific permutation importance
isolation_scale,0.0,0.0,Model-specific permutation importance
no_car_pct,0.0,0.0,Model-specific permutation importance
qof_mh_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep004_pct,0.0,0.0,Model-specific permutation importance
