feature,mean_abs_shap,importance_pct,domain
lag_1,0.26072714,24.852137,1_Temporal_History
rolling_max_3yr,0.254096,24.220068,1_Temporal_History
rolling_mean_3yr,0.22678576,21.616896,1_Temporal_History
spatial_lag_1,0.04873438,4.645292,2_Geography_Accessibility
lad_mean_samhi_lag_1,0.02641749,2.5180774,2_Geography_Accessibility
lag_2,0.026261957,2.5032523,1_Temporal_History
rolling_min_3yr,0.021284545,2.0288124,1_Temporal_History
lag_3,0.01790544,1.7067208,1_Temporal_History
pct_disability_limited,0.015405116,1.4683936,4_Demographics_Vulnerability
imd_2019_score,0.01357343,1.2937999,3_Deprivation_Economics
one_person_household_pct,0.013263964,1.264302,4_Demographics_Vulnerability
rolling_std_3yr,0.010775202,1.0270768,1_Temporal_History
no_car_pct,0.010704389,1.020327,2_Geography_Accessibility
spatial_delta_1,0.009419822,0.897884,2_Geography_Accessibility
delta_1,0.008858349,0.8443652,1_Temporal_History
qof_mh021_pct,0.008305202,0.79164004,5_Other
hosp_car_time,0.007933804,0.7562388,2_Geography_Accessibility
avg_download_speed,0.0076684323,0.730944,2_Geography_Accessibility
qof_mh002_pct,0.0064609163,0.6158453,5_Other
hosp_pt_time,0.006355616,0.6058082,2_Geography_Accessibility
pension_credit_rate,0.006166125,0.5877462,3_Deprivation_Economics
delta_2,0.0059889513,0.57085824,1_Temporal_History
pct_social_grade_de,0.005179696,0.4937212,3_Deprivation_Economics
decile_lag_1,0.0047862018,0.4562139,1_Temporal_History
pct_aged_65_plus,0.004192619,0.39963448,4_Demographics_Vulnerability
gp_pt_time,0.004154093,0.39596224,2_Geography_Accessibility
pct_no_qualifications,0.0038755466,0.36941156,4_Demographics_Vulnerability
acceleration,0.003742091,0.35669073,1_Temporal_History
lone_parent_pct,0.0035029242,0.33389372,4_Demographics_Vulnerability
unemployment_rate,0.0027986742,0.26676562,3_Deprivation_Economics
imd_2025_decile,0.001851207,0.17645441,3_Deprivation_Economics
gp_car_time,0.0016725152,0.15942176,2_Geography_Accessibility
is_rural,0.00026586925,0.025342276,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
qof_mh_pca_pct,0.0,0.0,5_Other
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
