feature,mean_abs_shap,importance_pct,domain
lag_1,0.20853123,39.306683,1_Temporal_History
rolling_mean_3yr,0.13747238,25.912586,1_Temporal_History
rolling_max_3yr,0.035269015,6.647963,1_Temporal_History
spatial_lag_1,0.03424521,6.454983,2_Geography_Accessibility
pct_disability_limited,0.023131218,4.3600736,4_Demographics_Vulnerability
lone_parent_pct,0.016300008,3.0724378,4_Demographics_Vulnerability
lag_2,0.010322001,1.9456253,1_Temporal_History
pct_social_grade_de,0.009427916,1.7770965,3_Deprivation_Economics
pct_aged_65_plus,0.008984644,1.6935427,4_Demographics_Vulnerability
decile_lag_1,0.008835643,1.665457,1_Temporal_History
lad_mean_samhi_lag_1,0.008446363,1.5920805,2_Geography_Accessibility
imd_2019_score,0.008253167,1.5556645,3_Deprivation_Economics
pension_credit_rate,0.003143894,0.5926021,3_Deprivation_Economics
one_person_household_pct,0.002814823,0.5305745,4_Demographics_Vulnerability
rolling_min_3yr,0.002093026,0.39452082,1_Temporal_History
acceleration,0.001876791,0.35376203,1_Temporal_History
pct_no_qualifications,0.001771837,0.33397892,4_Demographics_Vulnerability
unemployment_rate,0.0013610792,0.25655395,3_Deprivation_Economics
gp_pt_time,0.0011682137,0.22020014,2_Geography_Accessibility
delta_1,0.0011339219,0.21373637,1_Temporal_History
delta_2,0.0008342015,0.15724118,1_Temporal_History
hosp_car_time,0.0007967247,0.15017705,2_Geography_Accessibility
imd_2025_decile,0.0007548502,0.142284,3_Deprivation_Economics
is_rural,0.00069676683,0.13133569,2_Geography_Accessibility
avg_download_speed,0.0006648565,0.12532082,2_Geography_Accessibility
spatial_delta_1,0.0005015795,0.09454423,2_Geography_Accessibility
gp_car_time,0.00043852048,0.08265806,2_Geography_Accessibility
lag_3,0.00039560944,0.07456963,1_Temporal_History
hosp_pt_time,0.0003189657,0.06012281,2_Geography_Accessibility
rolling_std_3yr,0.00028297654,0.05333911,1_Temporal_History
no_car_pct,0.00024777293,0.04670347,2_Geography_Accessibility
qof_mh002_pct,4.5893516e-06,0.0008650608,5_Other
qof_mh021_pct,3.736092e-06,0.0007042273,5_Other
isolation_scale,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
qof_mh_pca_pct,0.0,0.0,5_Other
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
