feature,mean_abs_shap,importance_pct,domain
rolling_mean_3yr,0.23424612,28.638601,1_Temporal_History
rolling_max_3yr,0.17840606,21.811674,1_Temporal_History
lag_1,0.14236349,17.405159,1_Temporal_History
spatial_lag_1,0.042813268,5.23429,2_Geography_Accessibility
lad_mean_samhi_lag_1,0.026288148,3.213952,2_Geography_Accessibility
lag_2,0.021420518,2.6188424,1_Temporal_History
imd_2019_score,0.017387621,2.1257863,3_Deprivation_Economics
one_person_household_pct,0.016419455,2.0074196,4_Demographics_Vulnerability
qof_mh002_pct,0.009699484,1.1858453,5_Other
pension_credit_rate,0.009546979,1.1672003,3_Deprivation_Economics
pct_disability_limited,0.009461289,1.156724,4_Demographics_Vulnerability
rolling_min_3yr,0.009324195,1.1399629,1_Temporal_History
lag_3,0.008851043,1.0821161,1_Temporal_History
no_car_pct,0.008569192,1.0476575,2_Geography_Accessibility
delta_2,0.008250272,1.0086666,1_Temporal_History
delta_1,0.007489967,0.91571283,1_Temporal_History
hosp_car_time,0.0074785575,0.9143179,2_Geography_Accessibility
pct_aged_65_plus,0.0069326204,0.84757245,4_Demographics_Vulnerability
rolling_std_3yr,0.006712865,0.8207055,1_Temporal_History
spatial_delta_1,0.0066406406,0.8118754,2_Geography_Accessibility
pct_no_qualifications,0.004147785,0.5071024,4_Demographics_Vulnerability
pct_social_grade_de,0.0040377206,0.49364603,3_Deprivation_Economics
imd_2025_decile,0.0039944244,0.48835272,3_Deprivation_Economics
acceleration,0.003952142,0.48318332,1_Temporal_History
qof_mh021_pct,0.0038326236,0.46857122,5_Other
decile_lag_1,0.0037806537,0.4622174,1_Temporal_History
hosp_pt_time,0.0036399716,0.4450178,2_Geography_Accessibility
unemployment_rate,0.0031974716,0.3909184,3_Deprivation_Economics
avg_download_speed,0.0031597274,0.38630384,2_Geography_Accessibility
lone_parent_pct,0.002084972,0.25490576,4_Demographics_Vulnerability
gp_pt_time,0.0020283002,0.24797714,2_Geography_Accessibility
gp_car_time,0.0014865053,0.18173805,2_Geography_Accessibility
is_rural,0.00029430128,0.03598086,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
qof_mh_pca_pct,0.0,0.0,5_Other
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
