feature,mean_abs_shap,importance_pct,domain
lag_1,0.2706005,46.93372,1_Temporal_History
rolling_mean_3yr,0.09028249,15.658853,1_Temporal_History
spatial_lag_1,0.046174563,8.008648,2_Geography_Accessibility
rolling_max_3yr,0.02981398,5.1710215,1_Temporal_History
lad_mean_samhi_lag_1,0.025396656,4.404868,2_Geography_Accessibility
pct_disability_limited,0.021814978,3.7836518,4_Demographics_Vulnerability
lag_2,0.019335229,3.353557,1_Temporal_History
lone_parent_pct,0.014178915,2.4592311,4_Demographics_Vulnerability
imd_2019_score,0.012854429,2.2295086,3_Deprivation_Economics
pct_aged_65_plus,0.010336797,1.7928435,4_Demographics_Vulnerability
pct_social_grade_de,0.0075970963,1.3176619,3_Deprivation_Economics
decile_lag_1,0.005534331,0.95989007,1_Temporal_History
one_person_household_pct,0.0026716283,0.4633748,4_Demographics_Vulnerability
acceleration,0.0024441138,0.42391405,1_Temporal_History
unemployment_rate,0.0021823624,0.37851512,3_Deprivation_Economics
gp_pt_time,0.002053072,0.35609064,2_Geography_Accessibility
pct_no_qualifications,0.0018933581,0.3283894,4_Demographics_Vulnerability
pension_credit_rate,0.0016068376,0.27869448,3_Deprivation_Economics
gp_car_time,0.0014931528,0.25897667,2_Geography_Accessibility
delta_1,0.0014022744,0.24321444,1_Temporal_History
rolling_min_3yr,0.0013116393,0.22749445,1_Temporal_History
delta_2,0.00090986857,0.15781018,1_Temporal_History
rolling_std_3yr,0.00069779315,0.12102722,1_Temporal_History
hosp_pt_time,0.0006791898,0.11780061,2_Geography_Accessibility
avg_download_speed,0.00060158496,0.104340605,2_Geography_Accessibility
lag_3,0.00057653675,0.09999617,1_Temporal_History
is_rural,0.0004951173,0.08587455,2_Geography_Accessibility
spatial_delta_1,0.00047783516,0.082877085,2_Geography_Accessibility
imd_2025_decile,0.00036918424,0.06403236,3_Deprivation_Economics
hosp_car_time,0.00036732838,0.06371048,2_Geography_Accessibility
no_car_pct,0.0003240242,0.056199677,2_Geography_Accessibility
qof_mh002_pct,4.4712535e-05,0.007755069,5_Other
qof_mh021_pct,3.7318143e-05,0.006472565,5_Other
isolation_scale,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
qof_mh_pca_pct,0.0,0.0,5_Other
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
